positive,negative
"female, macro eye detail shot, dark brown hair casual bun, realistic skin pores, authentic facial asymmetry, high-detail realism, overcast daylight realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"female, side nose profile detail, dark brown hair casual bun, realistic skin pores, authentic facial asymmetry, high-detail realism, cinematic soft shadows","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"female, cheekbone structure detail portrait, dark brown hair half-up hairstyle, realistic skin pores, authentic facial asymmetry, high-detail realism, subtle studio lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"female, nose bridge detail close-up, dark brown hair soft waves, realistic skin pores, authentic facial asymmetry, high-detail realism, DSLR realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"female, side nose profile detail, dark brown hair hair down naturally, realistic skin pores, authentic facial asymmetry, high-detail realism, soft window lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"female, half-face macro realism, dark brown hair straight hair tucked behind ears, realistic skin pores, authentic facial asymmetry, high-detail realism, warm indoor ambient lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"female, eyebrow and eye texture close-up, dark brown hair low ponytail, realistic skin pores, authentic facial asymmetry, high-detail realism, natural daylight realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"female, cheekbone structure detail portrait, dark brown hair hair down naturally, realistic skin pores, authentic facial asymmetry, high-detail realism, soft window lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"female, nose bridge detail close-up, dark brown hair low ponytail, realistic skin pores, authentic facial asymmetry, high-detail realism, subtle studio lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"female, nose bridge detail close-up, dark brown hair straight hair tucked behind ears, realistic skin pores, authentic facial asymmetry, high-detail realism, warm indoor ambient lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
