"positive","negative"
"woman lying on back on bed, white sheet barely draped across hips and lower belly, one arm across chest covering breasts, other hand resting on sheet near thigh, head turned slightly toward camera, eyes looking at viewer, medium full shot from slightly above, soft morning window light","blurry, deformed, extra limbs, fused fingers, bad anatomy, visible nipples, explicit genitals, text, watermark, low quality, face cropped, headless"
"woman sitting up in bed, sheet pooled around waist, both hands covering breasts with arms crossed, legs slightly bent and together, looking over shoulder toward camera, three-quarter view, medium shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, visible nipples, explicit genitals, text, watermark, low quality, face cropped, headless"
"woman standing wrapped in white towel slipping off one shoulder, one hand holding towel at chest, other hand holding towel at hip, body slightly turned, looking back over shoulder, full length mirror selfie style, medium-wide shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, visible nipples, explicit genitals, text, watermark, low quality, face cropped, headless"
"woman lying on stomach on bed, sheet covering lower back and hips, bare back visible, arms folded under head, face turned to side visible, legs relaxed, overhead angle shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, visible nipples, explicit genitals, text, watermark, low quality, face cropped, headless"
"woman wearing oversized unbuttoned white shirt open at front, both hands inside shirt covering breasts, standing by window, backlit silhouette, legs together, head turned toward light, medium shot from side","blurry, deformed, extra limbs, fused fingers, bad anatomy, visible nipples, explicit genitals, text, watermark, low quality, face cropped, headless"
"woman on all fours on bed, thin sheet draped over lower back, back arched, one hand on bed for support, head turned looking back over shoulder, low angle shot from side","blurry, deformed, extra limbs, fused fingers, bad anatomy, visible nipples, explicit genitals, text, watermark, low quality, face cropped, headless"
"woman sitting on edge of bed, legs crossed at knees, towel wrapped low on hips, arms crossed tightly over chest, looking directly at camera, tight medium upper body shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, visible nipples, explicit genitals, text, watermark, low quality, face cropped, headless"
"woman lying on side on bed, sheer white sheet clinging to curves, one hand resting on hip holding sheet, other arm under head, legs slightly bent, side profile with face visible, medium shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, visible nipples, explicit genitals, text, watermark, low quality, face cropped, headless"
"woman standing in doorway, towel held loosely at chest level barely covering, other hand on hip, back mostly to camera but looking back over shoulder with face visible, bare legs, medium-wide shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, visible nipples, explicit genitals, text, watermark, low quality, face cropped, headless"
"woman stretched out on bed arms above head, thin sheet across pelvis, one knee slightly bent, relaxed expression looking at camera, wide full body shot from foot of bed","blurry, deformed, extra limbs, fused fingers, bad anatomy, visible nipples, explicit genitals, text, watermark, low quality, face cropped, headless"
"woman in sheer black babydoll lingerie, fabric transparent, both hands lightly pressing fabric against breasts and hips, standing with weight on one leg, hip cocked, three-quarter view, medium shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, visible nipples, explicit genitals, text, watermark, low quality, face cropped, headless"
"woman in lace bodysuit pulled slightly aside, one hand covering chest, other hand on lower belly, arched back against wall, legs straight, head tilted back slightly, low angle shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, visible nipples, explicit genitals, text, watermark, low quality, face cropped, headless"
"woman wearing open silk robe slipping off shoulders, arms crossed over chest holding robe, legs crossed, elegant standing pose, looking at camera, medium full shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, visible nipples, explicit genitals, text, watermark, low quality, face cropped, headless"
"woman in micro bikini with strings loosened, one hand adjusting top, other hand on hip, standing by pool edge, body angled, head turned toward camera, wide environmental shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, visible nipples, explicit genitals, text, watermark, low quality, face cropped, headless"
"woman in sheer white crop top and thong, fabric wet and clinging, arms raised above head, legs slightly apart, side profile with face visible, medium tight shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, visible nipples, explicit genitals, text, watermark, low quality, face cropped, headless"
"woman lying on side in lace teddy with straps fallen, one hand resting on hip, other arm supporting head, legs elegantly bent, soft bedroom light, medium shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, visible nipples, explicit genitals, text, watermark, low quality, face cropped, headless"
"woman in fishnet bodystocking, both hands covering key areas at chest and lower belly, kneeling on bed, body upright, looking at camera, low angle shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, visible nipples, explicit genitals, text, watermark, low quality, face cropped, headless"
"woman holding unclasped bra against chest with both hands, back mostly to camera but looking over shoulder with face visible, bare shoulders and back, mirror pose, medium shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, visible nipples, explicit genitals, text, watermark, low quality, face cropped, headless"
"woman in sheer robe completely open framing body, both hands on waist, legs together, elegant standing pose facing camera, full length medium-wide shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, visible nipples, explicit genitals, text, watermark, low quality, face cropped, headless"
