"positive","negative"
"female stepping onto a treadmill to begin a workout, full workout outfit, fitted black cropped zip training jacket half open over a matte charcoal scoop-neck sports bra, high-waisted charcoal 7/8 leggings, white running shoes, full body, camera angle slightly low front 3/4 view, entire head visible, clear non-blurry gym background, photorealistic fitness scene, subtly sexy but sfw","blurry, low resolution, bad anatomy, deformed hands, extra limbs, cropped head, out of frame, cluttered background, exaggerated body proportions, nsfw, nudity, lingerie, bikini, see-through clothing, text, watermark"
"female walking briskly on a treadmill, arms relaxed, full workout outfit, fitted black cropped zip training jacket half open over a matte charcoal scoop-neck sports bra, high-waisted charcoal 7/8 leggings, white running shoes, full body, camera angle front eye-level view, entire head visible, clear non-blurry gym background, photorealistic fitness scene, subtly sexy but sfw","blurry, low resolution, bad anatomy, deformed hands, extra limbs, cropped head, out of frame, cluttered background, exaggerated body proportions, nsfw, nudity, lingerie, bikini, see-through clothing, text, watermark"
"female jogging mid-stride on a treadmill, focused workout posture, full workout outfit, fitted black cropped zip training jacket half open over a matte charcoal scoop-neck sports bra, high-waisted charcoal 7/8 leggings, white running shoes, full body, camera angle slight side 3/4 view, entire head visible, clear non-blurry gym background, photorealistic fitness scene, subtly sexy but sfw","blurry, low resolution, bad anatomy, deformed hands, extra limbs, cropped head, out of frame, cluttered background, exaggerated body proportions, nsfw, nudity, lingerie, bikini, see-through clothing, text, watermark"
"female running faster on a treadmill, athletic motion, full workout outfit, fitted black cropped zip training jacket half open over a matte charcoal scoop-neck sports bra, high-waisted charcoal 7/8 leggings, white running shoes, full body, camera angle low side profile view, entire head visible, clear non-blurry gym background, photorealistic fitness scene, subtly sexy but sfw","blurry, low resolution, bad anatomy, deformed hands, extra limbs, cropped head, out of frame, cluttered background, exaggerated body proportions, nsfw, nudity, lingerie, bikini, see-through clothing, text, watermark"
"female finishing a treadmill run, one foot on the treadmill side rail, catching her breath, full workout outfit, fitted black cropped zip training jacket half open over a matte charcoal scoop-neck sports bra, high-waisted charcoal 7/8 leggings, white running shoes, full body, camera angle front 3/4 slightly elevated view, entire head visible, clear non-blurry gym background, photorealistic fitness scene, subtly sexy but sfw","blurry, low resolution, bad anatomy, deformed hands, extra limbs, cropped head, out of frame, cluttered background, exaggerated body proportions, nsfw, nudity, lingerie, bikini, see-through clothing, text, watermark"
"female holding two dumbbells at shoulder height before a squat, full workout outfit, navy ribbed longline sports bra, high-waisted navy contour workout shorts, white crew socks, flat white training shoes, full body, camera angle front eye-level view, entire head visible, clear non-blurry gym background, photorealistic fitness scene, subtly sexy but sfw","blurry, low resolution, bad anatomy, deformed hands, extra limbs, cropped head, out of frame, cluttered background, exaggerated body proportions, nsfw, nudity, lingerie, bikini, see-through clothing, text, watermark"
"female lowering into a dumbbell squat, knees tracking forward, full workout outfit, navy ribbed longline sports bra, high-waisted navy contour workout shorts, white crew socks, flat white training shoes, full body, camera angle low front 3/4 view, entire head visible, clear non-blurry gym background, photorealistic fitness scene, subtly sexy but sfw","blurry, low resolution, bad anatomy, deformed hands, extra limbs, cropped head, out of frame, cluttered background, exaggerated body proportions, nsfw, nudity, lingerie, bikini, see-through clothing, text, watermark"
"female at the bottom of a controlled dumbbell squat, balanced athletic posture, full workout outfit, navy ribbed longline sports bra, high-waisted navy contour workout shorts, white crew socks, flat white training shoes, full body, camera angle slight side 3/4 view, entire head visible, clear non-blurry gym background, photorealistic fitness scene, subtly sexy but sfw","blurry, low resolution, bad anatomy, deformed hands, extra limbs, cropped head, out of frame, cluttered background, exaggerated body proportions, nsfw, nudity, lingerie, bikini, see-through clothing, text, watermark"
"female driving upward from a dumbbell squat, core engaged, full workout outfit, navy ribbed longline sports bra, high-waisted navy contour workout shorts, white crew socks, flat white training shoes, full body, camera angle side view, entire head visible, clear non-blurry gym background, photorealistic fitness scene, subtly sexy but sfw","blurry, low resolution, bad anatomy, deformed hands, extra limbs, cropped head, out of frame, cluttered background, exaggerated body proportions, nsfw, nudity, lingerie, bikini, see-through clothing, text, watermark"
"female standing tall after a dumbbell squat rep, dumbbells held at her sides, full workout outfit, navy ribbed longline sports bra, high-waisted navy contour workout shorts, white crew socks, flat white training shoes, full body, camera angle front 3/4 slightly elevated view, entire head visible, clear non-blurry gym background, photorealistic fitness scene, subtly sexy but sfw","blurry, low resolution, bad anatomy, deformed hands, extra limbs, cropped head, out of frame, cluttered background, exaggerated body proportions, nsfw, nudity, lingerie, bikini, see-through clothing, text, watermark"
"female setting up for a kettlebell swing, feet planted wide, full workout outfit, olive fitted racerback crop tank, black high-waisted biker shorts, black training gloves, black cross-training shoes, full body, camera angle front eye-level view, entire head visible, clear non-blurry gym background, photorealistic fitness scene, subtly sexy but sfw","blurry, low resolution, bad anatomy, deformed hands, extra limbs, cropped head, out of frame, cluttered background, exaggerated body proportions, nsfw, nudity, lingerie, bikini, see-through clothing, text, watermark"
"female hinging hips back with the kettlebell between her legs, full workout outfit, olive fitted racerback crop tank, black high-waisted biker shorts, black training gloves, black cross-training shoes, full body, camera angle low front 3/4 view, entire head visible, clear non-blurry gym background, photorealistic fitness scene, subtly sexy but sfw","blurry, low resolution, bad anatomy, deformed hands, extra limbs, cropped head, out of frame, cluttered background, exaggerated body proportions, nsfw, nudity, lingerie, bikini, see-through clothing, text, watermark"
