"positive","negative"
"photorealistic woman reclining on luxurious silk sheets in classic Playboy centerfold style, fully nude, body angled toward camera, one arm bent supporting head, other arm relaxed along body, legs elegantly crossed at ankles, direct seductive gaze at camera, medium full shot from low angle, soft studio lighting with gentle shadows","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon, painting"
"photorealistic woman seated on edge of bed in iconic centerfold pose, fully nude, both arms crossed lightly under breasts, knees bent and slightly apart with elegant twist, looking over shoulder at camera, three-quarter view, medium intimate shot, warm dramatic lighting","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon, painting"
"photorealistic woman standing in contrapposto pose inspired by classic centerfolds, fully nude, one hand on hip, other arm relaxed at side, weight on one leg with hip cocked, looking back over shoulder with face visible, medium-wide full body shot, elegant rim lighting","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon, painting"
"photorealistic woman lying on side on chaise lounge, classic centerfold reclining pose, fully nude, one arm pillowed under head, other hand resting on hip, legs slightly bent, soft side profile with face visible, medium shot, golden hour side light","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon, painting"
"photorealistic woman kneeling upright on bed like iconic centerfold, fully nude, back gently arched, both hands placed on thighs, head tilted looking directly at camera, low dramatic angle shot, soft bedroom studio lighting","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon, painting"
"photorealistic woman sitting sideways on wooden chair, centerfold glamour style, fully nude, legs crossed high at thighs, arms draped over chair back, bare shoulders and back, head turned toward camera with seductive expression, medium shot, elegant lighting","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon, painting"
"photorealistic woman on all fours on luxurious rug, fully nude, back arched seductively, head turned looking back over shoulder, face visible, low side angle shot, dramatic chiaroscuro lighting","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon, painting"
"photorealistic woman stretched out on stomach on bed, classic centerfold prone pose, fully nude, bare back and curves exposed, arms folded under chin with face turned to side visible, legs relaxed and slightly apart, overhead camera angle, soft natural window light","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon, painting"
"photorealistic woman leaning against wall in elegant S-curve pose, fully nude, arms raised above head with hands clasped, legs crossed at ankles, body twisted, low angle full shot, moody rim lighting highlighting curves","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon, painting"
"photorealistic woman reclining on back with knees bent, centerfold style, fully nude, both hands resting lightly on lower stomach, head turned toward camera with soft gaze, overhead intimate shot, diffused soft lighting","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon, painting"
"photorealistic woman standing in doorway, fully nude, body mostly back to camera but looking over shoulder, face clearly visible, bare legs and back, medium-wide shot, soft hallway dramatic light","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon, painting"
"photorealistic woman seated on floor leaning against bed, fully nude, legs pulled up with knees together, arms wrapped around body, head resting on knees looking up at camera, tight intimate overhead angle, cozy warm lighting","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon, painting"
"photorealistic woman in profile view on windowsill, fully nude, one leg raised, one hand on thigh, elegant body lines, medium side shot, natural daylight","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon, painting"
"photorealistic woman lying prone lifted on elbows, fully nude, bare back focus, legs extended and crossed at ankles, head turned looking back over shoulder with face visible, medium shot, strong rim lighting","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon, painting"
"photorealistic woman in mirror selfie centerfold pose, fully nude, phone in one hand, other arm relaxed at side, body angled, legs straight, full length mirror shot, bright soft lighting","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon, painting"
"photorealistic woman crouching low on bed, fully nude, knees together, arms wrapped around body, head tilted looking up at camera, tight intimate low angle shot, soft moody lighting","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon, painting"
"photorealistic woman standing with weight shifted hip cocked, fully nude, one hand lightly on thigh, other arm relaxed, elegant contrapposto centerfold stance, full body medium-wide shot, studio lighting","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon, painting"
"photorealistic woman reclining sideways on chaise with one leg extended, other bent, one arm supporting head, other relaxed across body, wide artistic shot, golden hour lighting","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon, painting"
"photorealistic woman sitting on chair with legs straddled elegantly, fully nude, torso upright, hands behind for support, head looking at camera, medium shot from front three-quarter, dramatic lighting","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon, painting"
"photorealistic woman in fetal curl on bed like intimate centerfold, fully nude, knees to chest with arms wrapped around legs, head resting on knees with eyes toward camera, cozy tight shot, soft diffused bedroom light","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon, painting"
