"positive","negative"
"masterpiece, best quality, ultra realistic, photorealistic 8k, female, completely nude, riding a thick suction cup dildo on the floor, bouncing hard with intense pleasure face, eyes rolled back, mouth open screaming in ecstasy, warm golden hour light, detailed insertion and juices dripping down thighs, perfect anatomy, sharp focus, professional photography","blurry, low quality, deformed, ugly, extra limbs, bad anatomy, watermark, text, cartoon, painting, 3d render, child, underage, old, wrinkles, fat, muscular, poorly drawn hands, mutated, disfigured"
"masterpiece, best quality, ultra realistic, photorealistic 8k, female, completely nude, on all fours with wand vibrator pressed hard on clit, ass high in the air, back arched in orgasm, harsh dramatic side lighting, squirting juices visible, detailed wet pussy, perfect anatomy, sharp focus, professional photography","blurry, low quality, deformed, ugly, extra limbs, bad anatomy, watermark, text, cartoon, painting, 3d render, child, underage, old, wrinkles, fat, muscular, poorly drawn hands, mutated, disfigured"
"masterpiece, best quality, ultra realistic, photorealistic 8k, female, completely nude, sitting in lotus position on bed, rabbit vibrator thrusting inside while buzzing clit, hands squeezing breasts, intense full-body orgasm tremble, soft neon purple lighting, glistening sweat and arousal, perfect anatomy, sharp focus, professional photography","blurry, low quality, deformed, ugly, extra limbs, bad anatomy, watermark, text, cartoon, painting, 3d render, child, underage, old, wrinkles, fat, muscular, poorly drawn hands, mutated, disfigured"
"masterpiece, best quality, ultra realistic, photorealistic 8k, female, completely nude, standing with one leg on chair, huge dildo sliding in and out rapidly, free hand rubbing clit, head thrown back moaning loudly, low angle dramatic lighting, shiny wet thighs, perfect anatomy, sharp focus, professional photography","blurry, low quality, deformed, ugly, extra limbs, bad anatomy, watermark, text, cartoon, painting, 3d render, child, underage, old, wrinkles, fat, muscular, poorly drawn hands, mutated, disfigured"
"masterpiece, best quality, ultra realistic, photorealistic 8k, female, completely nude, lying on back in yoga bridge pose, suction vibrator sealed on clit, fingers pumping deep, eyes closed screaming in pleasure, overhead high angle shot, soft diffused light, detailed squirting, perfect anatomy, sharp focus, professional photography","blurry, low quality, deformed, ugly, extra limbs, bad anatomy, watermark, text, cartoon, painting, 3d render, child, underage, old, wrinkles, fat, muscular, poorly drawn hands, mutated, disfigured"
"masterpiece, best quality, ultra realistic, photorealistic 8k, female, completely nude, humping a pillow with thick vibrating dildo inside, grinding furiously, intense orgasm face with tongue out, side view three-quarter angle, warm candlelight, juices soaking fabric, perfect anatomy, sharp focus, professional photography","blurry, low quality, deformed, ugly, extra limbs, bad anatomy, watermark, text, cartoon, painting, 3d render, child, underage, old, wrinkles, fat, muscular, poorly drawn hands, mutated, disfigured"
"masterpiece, best quality, ultra realistic, photorealistic 8k, female, completely nude, on kitchen counter with legs spread wide, wand massager on clit and dildo thrusting, full squirting orgasm, bright natural kitchen light, extreme close-up on dripping pussy, perfect anatomy, sharp focus, professional photography","blurry, low quality, deformed, ugly, extra limbs, bad anatomy, watermark, text, cartoon, painting, 3d render, child, underage, old, wrinkles, fat, muscular, poorly drawn hands, mutated, disfigured"
"masterpiece, best quality, ultra realistic, photorealistic 8k, female, completely nude, against wall in standing split, rabbit vibrator deep inside, one hand on breast, biting lip hard in ecstasy, harsh cinematic low angle, moody blue lighting, glistening wetness, perfect anatomy, sharp focus, professional photography","blurry, low quality, deformed, ugly, extra limbs, bad anatomy, watermark, text, cartoon, painting, 3d render, child, underage, old, wrinkles, fat, muscular, poorly drawn hands, mutated, disfigured"
"masterpiece, best quality, ultra realistic, photorealistic 8k, female, completely nude, reclining in bathtub with shower head spraying directly on clit while fingering, legs up on edges, screaming orgasm, steamy bathroom lighting, water and juices mixing, perfect anatomy, sharp focus, professional photography","blurry, low quality, deformed, ugly, extra limbs, bad anatomy, watermark, text, cartoon, painting, 3d render, child, underage, old, wrinkles, fat, muscular, poorly drawn hands, mutated, disfigured"
"masterpiece, best quality, ultra realistic, photorealistic 8k, female, completely nude, on office desk in reverse cowgirl on dildo, bouncing with hands on breasts, intense pleasure expression looking back, dramatic overhead angle, soft desk lamp light, detailed insertion, perfect anatomy, sharp focus, professional photography","blurry, low quality, deformed, ugly, extra limbs, bad anatomy, watermark, text, cartoon, painting, 3d render, child, underage, old, wrinkles, fat, muscular, poorly drawn hands, mutated, disfigured"
"masterpiece, best quality, ultra realistic, photorealistic 8k, female, completely nude, downward dog yoga pose with suction dildo on floor, thrusting back onto it, ass high, face in ecstasy, golden hour rim lighting, glistening sweat, perfect anatomy, sharp focus, professional photography","blurry, low quality, deformed, ugly, extra limbs, bad anatomy, watermark, text, cartoon, painting, 3d render, child, underage, old, wrinkles, fat, muscular, poorly drawn hands, mutated, disfigured"
"masterpiece, best quality, ultra realistic, photorealistic 8k, female, completely nude, sitting on edge of sofa with legs over head, double penetration with dildo and fingers, full body shaking orgasm, soft living room lighting, extreme close-up on stretched pussy, perfect anatomy, sharp focus, professional photography","blurry, low quality, deformed, ugly, extra limbs, bad anatomy, watermark, text, cartoon, painting, 3d render, child, underage, old, wrinkles, fat, muscular, poorly drawn hands, mutated, disfigured"
"masterpiece, best quality, ultra realistic, photorealistic 8k, female, completely nude, kneeling upright riding a thick dildo, hands behind head, arching back in screaming orgasm, harsh dramatic shadows, detailed juices running down shaft, perfect anatomy, sharp focus, professional photography","blurry, low quality, deformed, ugly, extra limbs, bad anatomy, watermark, text, cartoon, painting, 3d render, child, underage, old, wrinkles, fat, muscular, poorly drawn hands, mutated, disfigured"
"masterpiece, best quality, ultra realistic, photorealistic 8k, female, completely nude, lying on side in spooning position with wand vibrator on clit and dildo inside, intense rolling orgasm, moonlight through window, glistening skin, perfect anatomy, sharp focus, professional photography","blurry, low quality, deformed, ugly, extra limbs, bad anatomy, watermark, text, cartoon, painting, 3d render, child, underage, old, wrinkles, fat, muscular, poorly drawn hands, mutated, disfigured"
"masterpiece, best quality, ultra realistic, photorealistic 8k, female, completely nude, against mirror in full split, suction vibrator sealed on clit, fingers deep inside, seductive eye contact, soft warm lighting, detailed reflection and wetness, perfect anatomy, sharp focus, professional photography","blurry, low quality, deformed, ugly, extra limbs, bad anatomy, watermark, text, cartoon, painting, 3d render, child, underage, old, wrinkles, fat, muscular, poorly drawn hands, mutated, disfigured"
"masterpiece, best quality, ultra realistic, photorealistic 8k, female, completely nude, on back with knees to chest and ankles behind head, rabbit vibrator thrusting wildly, tongue out screaming, dramatic low angle full-body shot, warm studio lighting, squirting visible, perfect anatomy, sharp focus, professional photography","blurry, low quality, deformed, ugly, extra limbs, bad anatomy, watermark, text, cartoon, painting, 3d render, child, underage, old, wrinkles, fat, muscular, poorly drawn hands, mutated, disfigured"
"masterpiece, best quality, ultra realistic, photorealistic 8k, female, completely nude, squatting over a vibrating dildo on floor, bouncing aggressively, hands spreading ass, intense orgasm face, overhead high angle, neon accent lighting, juices splashing, perfect anatomy, sharp focus, professional photography","blurry, low quality, deformed, ugly, extra limbs, bad anatomy, watermark, text, cartoon, painting, 3d render, child, underage, old, wrinkles, fat, muscular, poorly drawn hands, mutated, disfigured"
"masterpiece, best quality, ultra realistic, photorealistic 8k, female, completely nude, standing bent over table with dildo thrusting from behind, wand on clit, looking back in ecstasy, side view cinematic angle, golden hour sunlight, detailed dripping, perfect anatomy, sharp focus, professional photography","blurry, low quality, deformed, ugly, extra limbs, bad anatomy, watermark, text, cartoon, painting, 3d render, child, underage, old, wrinkles, fat, muscular, poorly drawn hands, mutated, disfigured"
