positive,negative
"k@rma, full body realistic photograph, three-quarter left, walking casually, athletic feminine body proportions, near-black brown hair soft waves, realistic thighs and hips, consistent natural chest shape, realistic skin texture, subtle studio lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"k@rma, full body realistic photograph, eye-level portrait, seated relaxed pose, athletic feminine body proportions, near-black brown hair messy updo, realistic thighs and hips, consistent natural chest shape, realistic skin texture, soft window lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"k@rma, full body realistic photograph, three-quarter right, walking casually, athletic feminine body proportions, near-black brown hair loose messy bun, realistic thighs and hips, consistent natural chest shape, realistic skin texture, DSLR realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"k@rma, full body realistic photograph, close side angle, standing naturally, athletic feminine body proportions, near-black brown hair soft waves, realistic thighs and hips, consistent natural chest shape, realistic skin texture, DSLR realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"k@rma, full body realistic photograph, three-quarter left, standing naturally, athletic feminine body proportions, near-black brown hair straight hair tucked behind ears, realistic thighs and hips, consistent natural chest shape, realistic skin texture, soft window lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"k@rma, full body realistic photograph, eye-level portrait, hands in pockets stance, athletic feminine body proportions, near-black brown hair hair down naturally, realistic thighs and hips, consistent natural chest shape, realistic skin texture, overcast daylight realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"k@rma, full body realistic photograph, three-quarter right, mirror selfie pose, athletic feminine body proportions, near-black brown hair straight hair tucked behind ears, realistic thighs and hips, consistent natural chest shape, realistic skin texture, overcast daylight realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"k@rma, full body realistic photograph, side profile, leaning casually against wall, athletic feminine body proportions, near-black brown hair loose braid, realistic thighs and hips, consistent natural chest shape, realistic skin texture, natural daylight realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"k@rma, full body realistic photograph, three-quarter right, hands in pockets stance, athletic feminine body proportions, near-black brown hair soft waves, realistic thighs and hips, consistent natural chest shape, realistic skin texture, cinematic soft shadows","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"k@rma, full body realistic photograph, eye-level portrait, seated relaxed pose, athletic feminine body proportions, near-black brown hair messy updo, realistic thighs and hips, consistent natural chest shape, realistic skin texture, overcast daylight realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"k@rma, full body realistic photograph, eye-level portrait, walking casually, athletic feminine body proportions, near-black brown hair straight hair tucked behind ears, realistic thighs and hips, consistent natural chest shape, realistic skin texture, warm indoor ambient lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
