"positive","negative"
"k@rma, adult female, sitting casually on a couch with a coffee mug nearby, relaxed calm expression, wearing a soft fitted t-shirt and lounge pants, modern smartphone photo, eye-level shot, slight handheld imperfection, natural unfiltered face, soft realistic skin detail, normal soft eyes, natural imperfect lashes, non-glossy skin, realistic clothing texture, natural wrinkles and seams, believable real-world background, ordinary natural lighting, soft real shadows, authentic social media realism, clean dataset image, no text, no watermark","airbrushed skin, plastic skin, waxy skin, glossy beauty-filter skin, over-smoothed face, flawless face, perfect lashes, fake lashes, hyper-detailed eyes, overly bright eyes, fake iris shine, oversharpened eyes, symmetrical beauty face, professional glamour portrait, commercial stock photography, studio-polished lighting, expensive lens bokeh, overly shallow depth of field, fake pore pattern, dotted skin texture, crunchy skin detail, CGI, render, illustration, anime, cartoon, fake HDR, excessive sharpness, heavy grain, strong chroma noise, harsh cinematic lighting, dramatic rim light, unrealistic color grading, cropped forehead, cropped hairline, cut-off head, partial face crop, out-of-frame head, distorted anatomy, malformed hands, warped fingers, warped limbs, unrealistic fabric, rubbery clothing, floating objects, duplicate features, text, watermark, logo, showroom-perfect room, luxury ad styling, forced model pose, overly staged interior"
"k@rma, adult female, leaning against a kitchen counter with a relaxed posture, small natural smile, wearing a plain fitted black t-shirt and jeans, casual phone snapshot, chest-up framing, natural focus falloff, natural unfiltered face, soft realistic skin detail, normal soft eyes, natural imperfect lashes, non-glossy skin, realistic clothing texture, natural wrinkles and seams, believable real-world background, ordinary natural lighting, soft real shadows, authentic social media realism, clean dataset image, no text, no watermark","airbrushed skin, plastic skin, waxy skin, glossy beauty-filter skin, over-smoothed face, flawless face, perfect lashes, fake lashes, hyper-detailed eyes, overly bright eyes, fake iris shine, oversharpened eyes, symmetrical beauty face, professional glamour portrait, commercial stock photography, studio-polished lighting, expensive lens bokeh, overly shallow depth of field, fake pore pattern, dotted skin texture, crunchy skin detail, CGI, render, illustration, anime, cartoon, fake HDR, excessive sharpness, heavy grain, strong chroma noise, harsh cinematic lighting, dramatic rim light, unrealistic color grading, cropped forehead, cropped hairline, cut-off head, partial face crop, out-of-frame head, distorted anatomy, malformed hands, warped fingers, warped limbs, unrealistic fabric, rubbery clothing, floating objects, duplicate features, text, watermark, logo, showroom-perfect room, luxury ad styling, forced model pose, overly staged interior"
"k@rma, adult female, standing near a bright bedroom window adjusting a curtain, thoughtful looking-away expression, wearing an oversized sweatshirt and casual shorts, consumer-camera style photo, relaxed mid-frame composition, natural unfiltered face, soft realistic skin detail, normal soft eyes, natural imperfect lashes, non-glossy skin, realistic clothing texture, natural wrinkles and seams, believable real-world background, ordinary natural lighting, soft real shadows, authentic social media realism, clean dataset image, no text, no watermark","airbrushed skin, plastic skin, waxy skin, glossy beauty-filter skin, over-smoothed face, flawless face, perfect lashes, fake lashes, hyper-detailed eyes, overly bright eyes, fake iris shine, oversharpened eyes, symmetrical beauty face, professional glamour portrait, commercial stock photography, studio-polished lighting, expensive lens bokeh, overly shallow depth of field, fake pore pattern, dotted skin texture, crunchy skin detail, CGI, render, illustration, anime, cartoon, fake HDR, excessive sharpness, heavy grain, strong chroma noise, harsh cinematic lighting, dramatic rim light, unrealistic color grading, cropped forehead, cropped hairline, cut-off head, partial face crop, out-of-frame head, distorted anatomy, malformed hands, warped fingers, warped limbs, unrealistic fabric, rubbery clothing, floating objects, duplicate features, text, watermark, logo, showroom-perfect room, luxury ad styling, forced model pose, overly staged interior"
"k@rma, adult female, sitting cross-legged on a living room rug with a book beside her, soft neutral expression, wearing a simple ribbed top and relaxed joggers, front-camera style photo, mild phone softness, believable framing, natural unfiltered face, soft realistic skin detail, normal soft eyes, natural imperfect lashes, non-glossy skin, realistic clothing texture, natural wrinkles and seams, believable real-world background, ordinary natural lighting, soft real shadows, authentic social media realism, clean dataset image, no text, no watermark","airbrushed skin, plastic skin, waxy skin, glossy beauty-filter skin, over-smoothed face, flawless face, perfect lashes, fake lashes, hyper-detailed eyes, overly bright eyes, fake iris shine, oversharpened eyes, symmetrical beauty face, professional glamour portrait, commercial stock photography, studio-polished lighting, expensive lens bokeh, overly shallow depth of field, fake pore pattern, dotted skin texture, crunchy skin detail, CGI, render, illustration, anime, cartoon, fake HDR, excessive sharpness, heavy grain, strong chroma noise, harsh cinematic lighting, dramatic rim light, unrealistic color grading, cropped forehead, cropped hairline, cut-off head, partial face crop, out-of-frame head, distorted anatomy, malformed hands, warped fingers, warped limbs, unrealistic fabric, rubbery clothing, floating objects, duplicate features, text, watermark, logo, showroom-perfect room, luxury ad styling, forced model pose, overly staged interior"
"k@rma, adult female, relaxing in a hallway mirror selfie with one hand resting at her side, casual half-smile, wearing a cozy cardigan over a plain top, natural social media photo, slight crop imperfection, real room shadows, natural unfiltered face, soft realistic skin detail, normal soft eyes, natural imperfect lashes, non-glossy skin, realistic clothing texture, natural wrinkles and seams, believable real-world background, ordinary natural lighting, soft real shadows, authentic social media realism, clean dataset image, no text, no watermark","airbrushed skin, plastic skin, waxy skin, glossy beauty-filter skin, over-smoothed face, flawless face, perfect lashes, fake lashes, hyper-detailed eyes, overly bright eyes, fake iris shine, oversharpened eyes, symmetrical beauty face, professional glamour portrait, commercial stock photography, studio-polished lighting, expensive lens bokeh, overly shallow depth of field, fake pore pattern, dotted skin texture, crunchy skin detail, CGI, render, illustration, anime, cartoon, fake HDR, excessive sharpness, heavy grain, strong chroma noise, harsh cinematic lighting, dramatic rim light, unrealistic color grading, cropped forehead, cropped hairline, cut-off head, partial face crop, out-of-frame head, distorted anatomy, malformed hands, warped fingers, warped limbs, unrealistic fabric, rubbery clothing, floating objects, duplicate features, text, watermark, logo, showroom-perfect room, luxury ad styling, forced model pose, overly staged interior"
"k@rma, adult female, sitting at a small breakfast table with a mug and phone nearby, gentle friendly smile, wearing a casual cotton tee and light pants, modern smartphone photo, eye-level shot, slight handheld imperfection, natural unfiltered face, soft realistic skin detail, normal soft eyes, natural imperfect lashes, non-glossy skin, realistic clothing texture, natural wrinkles and seams, believable real-world background, ordinary natural lighting, soft real shadows, authentic social media realism, clean dataset image, no text, no watermark","airbrushed skin, plastic skin, waxy skin, glossy beauty-filter skin, over-smoothed face, flawless face, perfect lashes, fake lashes, hyper-detailed eyes, overly bright eyes, fake iris shine, oversharpened eyes, symmetrical beauty face, professional glamour portrait, commercial stock photography, studio-polished lighting, expensive lens bokeh, overly shallow depth of field, fake pore pattern, dotted skin texture, crunchy skin detail, CGI, render, illustration, anime, cartoon, fake HDR, excessive sharpness, heavy grain, strong chroma noise, harsh cinematic lighting, dramatic rim light, unrealistic color grading, cropped forehead, cropped hairline, cut-off head, partial face crop, out-of-frame head, distorted anatomy, malformed hands, warped fingers, warped limbs, unrealistic fabric, rubbery clothing, floating objects, duplicate features, text, watermark, logo, showroom-perfect room, luxury ad styling, forced model pose, overly staged interior"
"k@rma, adult female, folding laundry on a bed in a casual home setting, focused relaxed expression, wearing a simple tank top under an open flannel, casual phone snapshot, chest-up framing, natural focus falloff, natural unfiltered face, soft realistic skin detail, normal soft eyes, natural imperfect lashes, non-glossy skin, realistic clothing texture, natural wrinkles and seams, believable real-world background, ordinary natural lighting, soft real shadows, authentic social media realism, clean dataset image, no text, no watermark","airbrushed skin, plastic skin, waxy skin, glossy beauty-filter skin, over-smoothed face, flawless face, perfect lashes, fake lashes, hyper-detailed eyes, overly bright eyes, fake iris shine, oversharpened eyes, symmetrical beauty face, professional glamour portrait, commercial stock photography, studio-polished lighting, expensive lens bokeh, overly shallow depth of field, fake pore pattern, dotted skin texture, crunchy skin detail, CGI, render, illustration, anime, cartoon, fake HDR, excessive sharpness, heavy grain, strong chroma noise, harsh cinematic lighting, dramatic rim light, unrealistic color grading, cropped forehead, cropped hairline, cut-off head, partial face crop, out-of-frame head, distorted anatomy, malformed hands, warped fingers, warped limbs, unrealistic fabric, rubbery clothing, floating objects, duplicate features, text, watermark, logo, showroom-perfect room, luxury ad styling, forced model pose, overly staged interior"
"k@rma, adult female, standing beside a houseplant in a calm living room, quiet confident expression, wearing a loose long-sleeve shirt and lounge shorts, consumer-camera style photo, relaxed mid-frame composition, natural unfiltered face, soft realistic skin detail, normal soft eyes, natural imperfect lashes, non-glossy skin, realistic clothing texture, natural wrinkles and seams, believable real-world background, ordinary natural lighting, soft real shadows, authentic social media realism, clean dataset image, no text, no watermark","airbrushed skin, plastic skin, waxy skin, glossy beauty-filter skin, over-smoothed face, flawless face, perfect lashes, fake lashes, hyper-detailed eyes, overly bright eyes, fake iris shine, oversharpened eyes, symmetrical beauty face, professional glamour portrait, commercial stock photography, studio-polished lighting, expensive lens bokeh, overly shallow depth of field, fake pore pattern, dotted skin texture, crunchy skin detail, CGI, render, illustration, anime, cartoon, fake HDR, excessive sharpness, heavy grain, strong chroma noise, harsh cinematic lighting, dramatic rim light, unrealistic color grading, cropped forehead, cropped hairline, cut-off head, partial face crop, out-of-frame head, distorted anatomy, malformed hands, warped fingers, warped limbs, unrealistic fabric, rubbery clothing, floating objects, duplicate features, text, watermark, logo, showroom-perfect room, luxury ad styling, forced model pose, overly staged interior"
"k@rma, adult female, sitting on the edge of a bed tying a sneaker, natural mid-moment expression, wearing a casual button-up shirt with rolled sleeves, front-camera style photo, mild phone softness, believable framing, natural unfiltered face, soft realistic skin detail, normal soft eyes, natural imperfect lashes, non-glossy skin, realistic clothing texture, natural wrinkles and seams, believable real-world background, ordinary natural lighting, soft real shadows, authentic social media realism, clean dataset image, no text, no watermark","airbrushed skin, plastic skin, waxy skin, glossy beauty-filter skin, over-smoothed face, flawless face, perfect lashes, fake lashes, hyper-detailed eyes, overly bright eyes, fake iris shine, oversharpened eyes, symmetrical beauty face, professional glamour portrait, commercial stock photography, studio-polished lighting, expensive lens bokeh, overly shallow depth of field, fake pore pattern, dotted skin texture, crunchy skin detail, CGI, render, illustration, anime, cartoon, fake HDR, excessive sharpness, heavy grain, strong chroma noise, harsh cinematic lighting, dramatic rim light, unrealistic color grading, cropped forehead, cropped hairline, cut-off head, partial face crop, out-of-frame head, distorted anatomy, malformed hands, warped fingers, warped limbs, unrealistic fabric, rubbery clothing, floating objects, duplicate features, text, watermark, logo, showroom-perfect room, luxury ad styling, forced model pose, overly staged interior"
"k@rma, adult female, leaning on the back of a couch in a quiet room, subtle candid smile, wearing a soft neutral sweater and jeans, natural social media photo, slight crop imperfection, real room shadows, natural unfiltered face, soft realistic skin detail, normal soft eyes, natural imperfect lashes, non-glossy skin, realistic clothing texture, natural wrinkles and seams, believable real-world background, ordinary natural lighting, soft real shadows, authentic social media realism, clean dataset image, no text, no watermark","airbrushed skin, plastic skin, waxy skin, glossy beauty-filter skin, over-smoothed face, flawless face, perfect lashes, fake lashes, hyper-detailed eyes, overly bright eyes, fake iris shine, oversharpened eyes, symmetrical beauty face, professional glamour portrait, commercial stock photography, studio-polished lighting, expensive lens bokeh, overly shallow depth of field, fake pore pattern, dotted skin texture, crunchy skin detail, CGI, render, illustration, anime, cartoon, fake HDR, excessive sharpness, heavy grain, strong chroma noise, harsh cinematic lighting, dramatic rim light, unrealistic color grading, cropped forehead, cropped hairline, cut-off head, partial face crop, out-of-frame head, distorted anatomy, malformed hands, warped fingers, warped limbs, unrealistic fabric, rubbery clothing, floating objects, duplicate features, text, watermark, logo, showroom-perfect room, luxury ad styling, forced model pose, overly staged interior"
