"positive","negative"
"photorealistic seductive woman in sheer black lace bra and thong with garter belt and stockings, lace fabric clinging to curves with subtle transparency, standing in bedroom facing camera, hands on hips, weight shifted to one leg, hip cocked, direct gaze, medium full shot, soft warm lighting","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic seductive woman in sheer black lace bra and thong with garter belt and stockings, lace edges pressing into skin, standing three-quarter view, one hand sliding down thigh, looking over shoulder, elegant S-curve pose, medium shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic seductive woman in sheer black lace bra and thong with garter belt and stockings, sheer cups hugging breasts, standing with back mostly to camera, looking back over shoulder, hands adjusting garters, low angle full body shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic seductive woman in sheer black lace bra and thong with garter belt and stockings, fabric sheer over hips, sitting on edge of bed, legs crossed, arms pushing breasts together, seductive eye contact, medium intimate shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic seductive woman in sheer black lace bra and thong with garter belt and stockings, thong straps high on hips, kneeling on bed upright, back arched, hands on thighs, low dramatic angle, direct gaze","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic seductive woman in sheer black lace bra and thong with garter belt and stockings, lace clinging tightly, lying on side on silk sheets, one leg bent, hand resting on hip, soft side profile with face visible, medium shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic seductive woman in sheer black lace bra and thong with garter belt and stockings, stockings smooth on legs, on all fours on bed, back arched, looking back over shoulder, low side angle emphasizing curves","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic seductive woman in sheer black lace bra and thong with garter belt and stockings, bra straps slightly off shoulders, standing by window backlit, arms raised above head, elegant silhouette, full body medium-wide shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic seductive woman in sheer black lace bra and thong with garter belt and stockings, garters taut on thighs, sitting sideways on chair, legs crossed high, arms draped over chair back, seductive expression, medium shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic seductive woman in sheer black lace bra and thong with garter belt and stockings, sheer fabric translucent in light, lying on back on bed, knees bent feet flat, hands resting on lower stomach, overhead intimate angle","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
