positive,negative
"female, ultra realistic close facial portrait, near-black brown hair loose braid, front-facing, detailed skin pores, realistic eyelashes, subtle natural makeup, realistic nose structure, warm indoor ambient lighting, authentic skin texture","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"female, ultra realistic close facial portrait, near-black brown hair tight ponytail, slightly downward angle, detailed skin pores, realistic eyelashes, subtle natural makeup, realistic nose structure, warm indoor ambient lighting, authentic skin texture","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"female, ultra realistic close facial portrait, near-black brown hair soft waves, three-quarter left, detailed skin pores, realistic eyelashes, subtle natural makeup, realistic nose structure, DSLR realism, authentic skin texture","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"female, ultra realistic close facial portrait, near-black brown hair straight hair tucked behind ears, eye-level portrait, detailed skin pores, realistic eyelashes, subtle natural makeup, realistic nose structure, DSLR realism, authentic skin texture","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"female, ultra realistic close facial portrait, near-black brown hair loose braid, front-facing, detailed skin pores, realistic eyelashes, subtle natural makeup, realistic nose structure, authentic smartphone realism, authentic skin texture","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"female, ultra realistic close facial portrait, near-black brown hair loose braid, eye-level portrait, detailed skin pores, realistic eyelashes, subtle natural makeup, realistic nose structure, natural daylight realism, authentic skin texture","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"female, ultra realistic close facial portrait, near-black brown hair loose braid, slightly elevated angle, detailed skin pores, realistic eyelashes, subtle natural makeup, realistic nose structure, cinematic soft shadows, authentic skin texture","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"female, ultra realistic close facial portrait, near-black brown hair loose messy bun, close side angle, detailed skin pores, realistic eyelashes, subtle natural makeup, realistic nose structure, natural daylight realism, authentic skin texture","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"female, ultra realistic close facial portrait, near-black brown hair hair down naturally, eye-level portrait, detailed skin pores, realistic eyelashes, subtle natural makeup, realistic nose structure, DSLR realism, authentic skin texture","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"female, ultra realistic close facial portrait, near-black brown hair low ponytail, eye-level portrait, detailed skin pores, realistic eyelashes, subtle natural makeup, realistic nose structure, DSLR realism, authentic skin texture","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"female, ultra realistic close facial portrait, near-black brown hair loose braid, side profile, detailed skin pores, realistic eyelashes, subtle natural makeup, realistic nose structure, overcast daylight realism, authentic skin texture","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"female, ultra realistic close facial portrait, near-black brown hair casual bun, side profile, detailed skin pores, realistic eyelashes, subtle natural makeup, realistic nose structure, soft window lighting, authentic skin texture","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"female, ultra realistic close facial portrait, near-black brown hair half-up hairstyle, front-facing, detailed skin pores, realistic eyelashes, subtle natural makeup, realistic nose structure, DSLR realism, authentic skin texture","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"female, ultra realistic close facial portrait, near-black brown hair casual bun, eye-level portrait, detailed skin pores, realistic eyelashes, subtle natural makeup, realistic nose structure, natural daylight realism, authentic skin texture","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"female, ultra realistic close facial portrait, near-black brown hair messy updo, three-quarter left, detailed skin pores, realistic eyelashes, subtle natural makeup, realistic nose structure, subtle studio lighting, authentic skin texture","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"female, ultra realistic close facial portrait, near-black brown hair tight ponytail, three-quarter left, detailed skin pores, realistic eyelashes, subtle natural makeup, realistic nose structure, natural daylight realism, authentic skin texture","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
