positive,negative
"karma_sfw, realistic lingerie portrait, black lace lingerie set, near-black brown hair down naturally, consistent natural chest shape, realistic skin texture, cinematic bedroom lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"karma_sfw, seated lingerie candid on bed, dark brown hair loose waves, black satin lingerie, athletic feminine build, realistic DSLR realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"karma_sfw, mirror selfie lingerie shot, near-black brown hair messy bun, fitted black lingerie set, authentic smartphone quality, realistic anatomy","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"karma_sfw, realistic standing lingerie portrait, dark brown hair ponytail, black semi-sheer lingerie, proportional anatomy, realistic skin detail","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"karma_sfw, side profile lingerie pose, near-black brown hair tied back, black lace bra and shorts, realistic feminine silhouette, natural body structure","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"karma_sfw, candid oversized shirt over lingerie, dark brown hair down naturally, black lingerie beneath loose white shirt, realistic bedroom lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"karma_sfw, seated floor lingerie portrait, near-black brown hair bun, realistic body proportions, authentic skin pores, cinematic realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"karma_sfw, realistic close mid-shot lingerie portrait, dark brown hair soft waves, black satin bra, natural chest consistency, realistic skin texture","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"karma_sfw, casual lingerie candid by window, near-black brown hair ponytail, dark lace lingerie, realistic daylight shadows, DSLR realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"karma_sfw, realistic lingerie selfie perspective, dark brown hair tucked behind ears, black lingerie set, athletic feminine build, authentic smartphone realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
