"positive","negative"
"photorealistic athletic woman in black sports bra and high-waisted leggings wearing black athletic sneakers performing bodyweight squats in modern gym, mid-rep lowering phase, knees tracking over toes, upright torso, focused expression, front angle medium shot, bright gym lighting, sweat on skin","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in black sports bra and high-waisted leggings wearing black athletic sneakers performing bodyweight squats, bottom position with thighs parallel to ground, strong core engaged, side profile angle, gym mirror in background, dynamic lighting","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in black sports bra and high-waisted leggings wearing black athletic sneakers performing bodyweight squats, standing up phase powering through heels, three-quarter front view, low angle shot emphasizing leg muscles, energetic expression","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in black sports bra and high-waisted leggings wearing black athletic sneakers doing walking lunges across gym floor, front leg bent at 90 degrees, back knee hovering, side angle medium shot, motion blur on trailing leg","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in black sports bra and high-waisted leggings wearing black athletic sneakers in lunge position, holding isometric hold, torso upright, front three-quarter angle, focused gaze, sweat glistening","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in black sports bra and high-waisted leggings wearing black athletic sneakers performing glute bridges on yoga mat, hips thrust high at top of rep, shoulders on floor, knees bent, low angle shot from feet, strong core engagement","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in black sports bra and high-waisted leggings wearing black athletic sneakers in plank position on forearms, body straight line, side view, engaged core and glutes, gym floor background","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in black sports bra and high-waisted leggings wearing black athletic sneakers doing mountain climbers, dynamic knee drive, high plank position, front angle with motion, energetic gym setting","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in black sports bra and high-waisted leggings wearing black athletic sneakers performing push-ups, mid-rep lowering phase, elbows at 45 degrees, side angle shot, strong back and core visible","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in black sports bra and high-waisted leggings barefoot on yoga mat in downward dog pose, hips high, heels reaching toward floor, side profile full body shot, calm focused expression","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in grey tank top and black shorts wearing black athletic sneakers doing dumbbell shoulder presses standing, mid-rep overhead, front angle, gym equipment in soft background","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in grey tank top and black shorts wearing black athletic sneakers performing dumbbell rows, one arm braced on bench, pulling weight to hip, side angle showing back muscles","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in grey tank top and black shorts wearing black athletic sneakers doing bicep curls with dumbbells, standing, peak contraction at top, three-quarter view","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in grey tank top and black shorts wearing black athletic sneakers performing box jumps, mid-air phase, powerful explosion from legs, dynamic low angle shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in grey tank top and black shorts barefoot on yoga mat in warrior II pose, strong leg stance, arms extended, side profile, calm yet powerful expression","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in pink sports bra and matching leggings wearing black athletic sneakers performing hip thrusts with barbell, hips at peak height, shoulders on bench, low angle emphasizing glutes","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in pink sports bra and matching leggings wearing black athletic sneakers performing Romanian deadlifts, mid-hinge with slight knee bend, side view showing hamstring stretch","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in pink sports bra and matching leggings barefoot on yoga mat in bird-dog position on all fours, opposite arm and leg extended, core engaged, overhead angle shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in pink sports bra and matching leggings wearing black athletic sneakers doing jumping jacks, mid-jump with arms overhead, full body dynamic shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in pink sports bra and matching leggings barefoot on yoga mat stretching in forward fold, hands reaching toward floor, legs straight, side angle, cool-down phase","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in black crop top and camo leggings wearing black athletic sneakers performing Bulgarian split squats, rear foot elevated, front leg working, side profile medium shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in black crop top and camo leggings wearing black athletic sneakers holding wall sit position, back against wall, thighs parallel, hands on thighs, front angle","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in black crop top and camo leggings wearing black athletic sneakers doing burpees, mid push-up phase, full body engagement, dynamic high angle shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in black crop top and camo leggings barefoot on yoga mat in side plank position, supporting on one forearm, top leg raised, side view","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in black crop top and camo leggings wearing black athletic sneakers performing Russian twists with medicine ball, seated with rotation, core engaged, three-quarter angle","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in neon green sports bra and shorts wearing black athletic sneakers doing high knees running in place, powerful knee drive, front angle with motion blur","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in neon green sports bra and shorts barefoot on yoga mat in Superman pose on mat, arms and legs lifted, back extension, overhead shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in neon green sports bra and shorts wearing black athletic sneakers performing lateral lunges, stepping to side with deep bend, side angle","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in neon green sports bra and shorts barefoot on yoga mat stretching quadriceps, standing on one leg pulling heel to glute, side profile","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in neon green sports bra and shorts wearing black athletic sneakers doing tricep dips on bench, mid-rep lowering, side angle","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in red sports bra and black compression shorts wearing black athletic sneakers performing deadlifts, mid-lift phase with bar close to shins, side view","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in red sports bra and black compression shorts wearing black athletic sneakers in calf raise position on step, full extension at top, front angle","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in red sports bra and black compression shorts barefoot on yoga mat holding boat pose, seated V-sit with legs and torso lifted, core strength, front shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in red sports bra and black compression shorts wearing black athletic sneakers shadow boxing, throwing punches with good form, dynamic three-quarter angle","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in red sports bra and black compression shorts barefoot on yoga mat in child's pose recovery, knees wide arms extended, overhead soft angle","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in purple tank top and leggings wearing black athletic sneakers doing overhead walking lunges with dumbbells, dynamic motion, side profile full body","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in purple tank top and leggings wearing black athletic sneakers performing face pulls with cable, standing, elbows high, rear delt focus, back angle","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in purple tank top and leggings barefoot on yoga mat in forearm plank with shoulder taps, dynamic core exercise, front three-quarter view","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in purple tank top and leggings wearing black athletic sneakers doing curtsy lunges, crossing leg behind, side angle showing glute activation","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in purple tank top and leggings barefoot on yoga mat stretching hamstrings in seated forward fold, legs extended, calm expression","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
"photorealistic athletic woman in white sports bra and shorts wearing black athletic sneakers performing kettlebell swings, mid-swing hip hinge, side dynamic shot","blurry, deformed, extra limbs, fused fingers, bad anatomy, text, watermark, low quality, face cropped, headless, plastic skin, cartoon"
