"positive","negative"
"female, bright commercial gym, light ivory sports bra and pale blue high-waist leggings, hair down, candid mirror-side moment adjusting wrist wraps before lifting, natural gym lighting, realistic fitness photo","wrong identity, different person, face swap, identity drift, duplicate person, extra people, nudity, explicit, nsfw, see-through clothing, exposed nipples, exposed genitals, cameltoe, overly sexual pose, fetish pose, distorted anatomy, extra limbs, missing fingers, bad hands, warped face, plastic skin, over-retouched skin, blurry, low resolution, harsh flash, oversaturated, all-black outfit, dark-only wardrobe, text, watermark, logo"
"female, weight room, white cropped tank and soft mint biker shorts, loose hair over one shoulder, loading plates onto a barbell, candid action, realistic athletic lifestyle photo","wrong identity, different person, face swap, identity drift, duplicate person, extra people, nudity, explicit, nsfw, see-through clothing, exposed nipples, exposed genitals, cameltoe, overly sexual pose, fetish pose, distorted anatomy, extra limbs, missing fingers, bad hands, warped face, plastic skin, over-retouched skin, blurry, low resolution, harsh flash, oversaturated, all-black outfit, dark-only wardrobe, text, watermark, logo"
"female, squat rack, blush pink fitted crop top and cream leggings, hair in a low ponytail, pausing between back squat sets with hands on bar, focused expression, clean gym environment","wrong identity, different person, face swap, identity drift, duplicate person, extra people, nudity, explicit, nsfw, see-through clothing, exposed nipples, exposed genitals, cameltoe, overly sexual pose, fetish pose, distorted anatomy, extra limbs, missing fingers, bad hands, warped face, plastic skin, over-retouched skin, blurry, low resolution, harsh flash, oversaturated, all-black outfit, dark-only wardrobe, text, watermark, logo"
"female, dumbbell area, pale yellow sports bra and light gray joggers, hair down, seated on bench choosing dumbbells, casual candid prep moment, realistic gym photography","wrong identity, different person, face swap, identity drift, duplicate person, extra people, nudity, explicit, nsfw, see-through clothing, exposed nipples, exposed genitals, cameltoe, overly sexual pose, fetish pose, distorted anatomy, extra limbs, missing fingers, bad hands, warped face, plastic skin, over-retouched skin, blurry, low resolution, harsh flash, oversaturated, all-black outfit, dark-only wardrobe, text, watermark, logo"
"female, bright gym floor, powder blue zip-up hoodie half open over a white sports bra with matching leggings, hair in a messy bun, stretching shoulders before workout, tasteful confident vibe","wrong identity, different person, face swap, identity drift, duplicate person, extra people, nudity, explicit, nsfw, see-through clothing, exposed nipples, exposed genitals, cameltoe, overly sexual pose, fetish pose, distorted anatomy, extra limbs, missing fingers, bad hands, warped face, plastic skin, over-retouched skin, blurry, low resolution, harsh flash, oversaturated, all-black outfit, dark-only wardrobe, text, watermark, logo"
"female, boxing gym, white hand wraps, soft lavender crop tank and cream shorts, hair down, candid moment tightening gloves near heavy bag, cinematic fitness lifestyle","wrong identity, different person, face swap, identity drift, duplicate person, extra people, nudity, explicit, nsfw, see-through clothing, exposed nipples, exposed genitals, cameltoe, overly sexual pose, fetish pose, distorted anatomy, extra limbs, missing fingers, bad hands, warped face, plastic skin, over-retouched skin, blurry, low resolution, harsh flash, oversaturated, all-black outfit, dark-only wardrobe, text, watermark, logo"
"female, boxing ring corner, pale teal sports bra and white joggers, hair in a high ponytail, leaning on ropes between rounds, athletic and confident, realistic photo","wrong identity, different person, face swap, identity drift, duplicate person, extra people, nudity, explicit, nsfw, see-through clothing, exposed nipples, exposed genitals, cameltoe, overly sexual pose, fetish pose, distorted anatomy, extra limbs, missing fingers, bad hands, warped face, plastic skin, over-retouched skin, blurry, low resolution, harsh flash, oversaturated, all-black outfit, dark-only wardrobe, text, watermark, logo"
"female, MMA training mat, light gray fitted rashguard top and pastel blue leggings, hair braided, practicing guarded stance, clean dojo lighting, realistic action shot","wrong identity, different person, face swap, identity drift, duplicate person, extra people, nudity, explicit, nsfw, see-through clothing, exposed nipples, exposed genitals, cameltoe, overly sexual pose, fetish pose, distorted anatomy, extra limbs, missing fingers, bad hands, warped face, plastic skin, over-retouched skin, blurry, low resolution, harsh flash, oversaturated, all-black outfit, dark-only wardrobe, text, watermark, logo"
"female, yoga studio, ivory wrap top and dusty rose leggings, hair down, seated on mat with water bottle beside her, candid calm pre-class moment, natural window light","wrong identity, different person, face swap, identity drift, duplicate person, extra people, nudity, explicit, nsfw, see-through clothing, exposed nipples, exposed genitals, cameltoe, overly sexual pose, fetish pose, distorted anatomy, extra limbs, missing fingers, bad hands, warped face, plastic skin, over-retouched skin, blurry, low resolution, harsh flash, oversaturated, all-black outfit, dark-only wardrobe, text, watermark, logo"
"female, indoor track, white cropped tee and sky blue running shorts, hair in a loose ponytail, tying running shoes on the bench, candid prep photo, realistic sports lifestyle","wrong identity, different person, face swap, identity drift, duplicate person, extra people, nudity, explicit, nsfw, see-through clothing, exposed nipples, exposed genitals, cameltoe, overly sexual pose, fetish pose, distorted anatomy, extra limbs, missing fingers, bad hands, warped face, plastic skin, over-retouched skin, blurry, low resolution, harsh flash, oversaturated, all-black outfit, dark-only wardrobe, text, watermark, logo"
"female, gym mirror wall, pale peach sports bra and cream leggings, hair down, holding resistance band with relaxed confident posture, tasteful sexy athletic style, realistic photo","wrong identity, different person, face swap, identity drift, duplicate person, extra people, nudity, explicit, nsfw, see-through clothing, exposed nipples, exposed genitals, cameltoe, overly sexual pose, fetish pose, distorted anatomy, extra limbs, missing fingers, bad hands, warped face, plastic skin, over-retouched skin, blurry, low resolution, harsh flash, oversaturated, all-black outfit, dark-only wardrobe, text, watermark, logo"
"female, cable machine area, white tank knotted at waist and light aqua leggings, hair in a bun, performing cable rows, focused movement, clean commercial gym","wrong identity, different person, face swap, identity drift, duplicate person, extra people, nudity, explicit, nsfw, see-through clothing, exposed nipples, exposed genitals, cameltoe, overly sexual pose, fetish pose, distorted anatomy, extra limbs, missing fingers, bad hands, warped face, plastic skin, over-retouched skin, blurry, low resolution, harsh flash, oversaturated, all-black outfit, dark-only wardrobe, text, watermark, logo"
