positive,negative
"female, full body realistic photograph, front-facing, standing with weight on one hip, soft smile, wearing fitted athletic crop top and high waisted leggings, near-black hair worn down naturally, realistic skin texture, modern studio backdrop, soft window lighting, athletic feminine body proportions, realistic photography","blonde hair, red hair, colorful hair dye, exaggerated anatomy, cartoon, anime, plastic skin, unrealistic body proportions, distorted anatomy, low detail, blurry face, overprocessed image"
"female, full body realistic photograph, three-quarter front left, walking casually, confident expression, wearing fitted tank top and dark denim jeans, near-black hair in loose waves, realistic skin texture, urban sidewalk, natural daylight realism, athletic feminine body proportions, realistic photography","blonde hair, red hair, colorful hair dye, exaggerated anatomy, cartoon, anime, plastic skin, unrealistic body proportions, distorted anatomy, low detail, blurry face, overprocessed image"
"female, full body realistic photograph, three-quarter front right, leaning against a wall, neutral expression, wearing oversized sweater and leggings, near-black hair straight and loose, realistic skin texture, city plaza, golden hour sunlight, athletic feminine body proportions, realistic photography","blonde hair, red hair, colorful hair dye, exaggerated anatomy, cartoon, anime, plastic skin, unrealistic body proportions, distorted anatomy, low detail, blurry face, overprocessed image"
"female, full body realistic photograph, left side profile, seated on a chair, thoughtful look, wearing casual fitted t-shirt and shorts, near-black hair softly curled, realistic skin texture, fitness studio, overcast daylight, athletic feminine body proportions, realistic photography","blonde hair, red hair, colorful hair dye, exaggerated anatomy, cartoon, anime, plastic skin, unrealistic body proportions, distorted anatomy, low detail, blurry face, overprocessed image"
"female, full body realistic photograph, right side profile, seated on a stool, friendly expression, wearing business casual blouse and tailored trousers, near-black hair worn down naturally, realistic skin texture, modern office, controlled studio softbox lighting, athletic feminine body proportions, realistic photography","blonde hair, red hair, colorful hair dye, exaggerated anatomy, cartoon, anime, plastic skin, unrealistic body proportions, distorted anatomy, low detail, blurry face, overprocessed image"
"female, full body realistic photograph, three-quarter rear left, standing with arms loosely crossed, subtle smile, wearing matching lounge wear set, near-black hair in loose waves, realistic skin texture, cozy living room, warm indoor ambient lighting, athletic feminine body proportions, realistic photography","blonde hair, red hair, colorful hair dye, exaggerated anatomy, cartoon, anime, plastic skin, unrealistic body proportions, distorted anatomy, low detail, blurry face, overprocessed image"
"female, full body realistic photograph, three-quarter rear right, one hand on hip, relaxed expression, wearing denim jacket over fitted top and jeans, near-black hair straight and loose, realistic skin texture, park pathway, cinematic soft shadows, athletic feminine body proportions, realistic photography","blonde hair, red hair, colorful hair dye, exaggerated anatomy, cartoon, anime, plastic skin, unrealistic body proportions, distorted anatomy, low detail, blurry face, overprocessed image"
"female, full body realistic photograph, rear view, looking over shoulder, calm gaze, wearing lightweight sundress, near-black hair softly curled, realistic skin texture, beach boardwalk, DSLR realism, athletic feminine body proportions, realistic photography","blonde hair, red hair, colorful hair dye, exaggerated anatomy, cartoon, anime, plastic skin, unrealistic body proportions, distorted anatomy, low detail, blurry face, overprocessed image"
"female, full body realistic photograph, front-facing, standing with hands behind back, soft smile, wearing leather jacket and fitted jeans, near-black hair worn down naturally, realistic skin texture, industrial loft, soft window lighting, athletic feminine body proportions, realistic photography","blonde hair, red hair, colorful hair dye, exaggerated anatomy, cartoon, anime, plastic skin, unrealistic body proportions, distorted anatomy, low detail, blurry face, overprocessed image"
"female, full body realistic photograph, three-quarter front left, resting against a railing, confident expression, wearing winter knit sweater and dark pants, near-black hair in loose waves, realistic skin texture, minimalist interior, natural daylight realism, athletic feminine body proportions, realistic photography","blonde hair, red hair, colorful hair dye, exaggerated anatomy, cartoon, anime, plastic skin, unrealistic body proportions, distorted anatomy, low detail, blurry face, overprocessed image"
"female, full body realistic photograph, three-quarter front right, standing with weight on one hip, neutral expression, wearing fitted athletic crop top and high waisted leggings, near-black hair straight and loose, realistic skin texture, modern studio backdrop, golden hour sunlight, athletic feminine body proportions, realistic photography","blonde hair, red hair, colorful hair dye, exaggerated anatomy, cartoon, anime, plastic skin, unrealistic body proportions, distorted anatomy, low detail, blurry face, overprocessed image"
"female, full body realistic photograph, left side profile, walking casually, thoughtful look, wearing fitted tank top and dark denim jeans, near-black hair softly curled, realistic skin texture, urban sidewalk, overcast daylight, athletic feminine body proportions, realistic photography","blonde hair, red hair, colorful hair dye, exaggerated anatomy, cartoon, anime, plastic skin, unrealistic body proportions, distorted anatomy, low detail, blurry face, overprocessed image"
"female, full body realistic photograph, right side profile, leaning against a wall, friendly expression, wearing oversized sweater and leggings, near-black hair worn down naturally, realistic skin texture, city plaza, controlled studio softbox lighting, athletic feminine body proportions, realistic photography","blonde hair, red hair, colorful hair dye, exaggerated anatomy, cartoon, anime, plastic skin, unrealistic body proportions, distorted anatomy, low detail, blurry face, overprocessed image"
"female, full body realistic photograph, three-quarter rear left, seated on a chair, subtle smile, wearing casual fitted t-shirt and shorts, near-black hair in loose waves, realistic skin texture, fitness studio, warm indoor ambient lighting, athletic feminine body proportions, realistic photography","blonde hair, red hair, colorful hair dye, exaggerated anatomy, cartoon, anime, plastic skin, unrealistic body proportions, distorted anatomy, low detail, blurry face, overprocessed image"
"female, full body realistic photograph, three-quarter rear right, seated on a stool, relaxed expression, wearing business casual blouse and tailored trousers, near-black hair straight and loose, realistic skin texture, modern office, cinematic soft shadows, athletic feminine body proportions, realistic photography","blonde hair, red hair, colorful hair dye, exaggerated anatomy, cartoon, anime, plastic skin, unrealistic body proportions, distorted anatomy, low detail, blurry face, overprocessed image"
"female, full body realistic photograph, rear view, standing with arms loosely crossed, calm gaze, wearing matching lounge wear set, near-black hair softly curled, realistic skin texture, cozy living room, DSLR realism, athletic feminine body proportions, realistic photography","blonde hair, red hair, colorful hair dye, exaggerated anatomy, cartoon, anime, plastic skin, unrealistic body proportions, distorted anatomy, low detail, blurry face, overprocessed image"
"female, full body realistic photograph, front-facing, one hand on hip, soft smile, wearing denim jacket over fitted top and jeans, near-black hair worn down naturally, realistic skin texture, park pathway, soft window lighting, athletic feminine body proportions, realistic photography","blonde hair, red hair, colorful hair dye, exaggerated anatomy, cartoon, anime, plastic skin, unrealistic body proportions, distorted anatomy, low detail, blurry face, overprocessed image"
