positive,negative
"karma_sfw, realistic poolside swimsuit portrait, black string bikini, near-black brown hair down naturally, athletic feminine build, consistent natural chest shape, realistic skin texture, DSLR realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"karma_sfw, beach swimsuit candid, dark brown hair in loose bun, black triangle bikini, realistic body proportions, authentic sunlight shadows, cinematic realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"karma_sfw, realistic mirror selfie in swimsuit, dark brown hair ponytail, fitted black bikini, natural chest consistency, realistic smartphone photo quality","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"karma_sfw, seated pool edge swimsuit shot, near-black brown hair wet naturally, black bikini set, realistic thighs and hips, authentic skin texture","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"karma_sfw, standing beachfront swimsuit portrait, dark brown hair wind-blown naturally, black minimal bikini, athletic feminine build, realistic lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"karma_sfw, casual swimsuit candid walking by pool, near-black brown hair tied back, realistic skin pores, proportional anatomy, authentic realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"karma_sfw, side profile swimsuit pose, dark brown hair in bun, fitted dark bikini, realistic feminine silhouette, natural body structure","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"karma_sfw, realistic swimsuit selfie perspective, near-black brown hair loose waves, black bikini top, subtle natural cleavage, authentic smartphone realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"karma_sfw, realistic resort swimsuit portrait, dark brown hair down naturally, athletic feminine proportions, realistic body detail, natural skin texture","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"karma_sfw, candid towel-and-swimsuit beach shot, near-black brown hair messy bun, black bikini beneath white towel wrap, realistic anatomy, cinematic realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
