positive,negative
"karma_sfw, clean facial identity reference, front-facing headshot, neutral expression, direct eye contact, plain neutral background, natural skin texture","low quality, blurry, distorted face, asymmetrical eyes, bad eyes, crossed eyes, deformed iris, extra teeth, bad mouth, warped jaw, plastic skin, waxy skin, over-smoothed skin, heavy glam makeup, harsh shadows, overexposed, underexposed, wrong hairline, jewelry, glasses, hat, text, watermark, duplicate face, extra person"
"karma_sfw, clean facial identity reference, front-facing tight face crop, eyes nose mouth visible, neutral expression, plain neutral background","low quality, blurry, distorted face, asymmetrical eyes, bad eyes, crossed eyes, deformed iris, extra teeth, bad mouth, warped jaw, plastic skin, waxy skin, over-smoothed skin, heavy glam makeup, harsh shadows, overexposed, underexposed, wrong hairline, jewelry, glasses, hat, text, watermark, duplicate face, extra person"
"karma_sfw, clean facial identity reference, slight left three-quarter face angle, direct eye contact, neutral expression, plain neutral background","low quality, blurry, distorted face, asymmetrical eyes, bad eyes, crossed eyes, deformed iris, extra teeth, bad mouth, warped jaw, plastic skin, waxy skin, over-smoothed skin, heavy glam makeup, harsh shadows, overexposed, underexposed, wrong hairline, jewelry, glasses, hat, text, watermark, duplicate face, extra person"
"karma_sfw, clean facial identity reference, slight right three-quarter face angle, direct eye contact, neutral expression, plain neutral background","low quality, blurry, distorted face, asymmetrical eyes, bad eyes, crossed eyes, deformed iris, extra teeth, bad mouth, warped jaw, plastic skin, waxy skin, over-smoothed skin, heavy glam makeup, harsh shadows, overexposed, underexposed, wrong hairline, jewelry, glasses, hat, text, watermark, duplicate face, extra person"
"karma_sfw, clean facial identity reference, left facial profile angle, relaxed mouth, plain neutral background, natural skin texture","low quality, blurry, distorted face, asymmetrical eyes, bad eyes, crossed eyes, deformed iris, extra teeth, bad mouth, warped jaw, plastic skin, waxy skin, over-smoothed skin, heavy glam makeup, harsh shadows, overexposed, underexposed, wrong hairline, jewelry, glasses, hat, text, watermark, duplicate face, extra person"
"karma_sfw, clean facial identity reference, right facial profile angle, relaxed mouth, plain neutral background, natural skin texture","low quality, blurry, distorted face, asymmetrical eyes, bad eyes, crossed eyes, deformed iris, extra teeth, bad mouth, warped jaw, plastic skin, waxy skin, over-smoothed skin, heavy glam makeup, harsh shadows, overexposed, underexposed, wrong hairline, jewelry, glasses, hat, text, watermark, duplicate face, extra person"
"karma_sfw, clean facial identity reference, left three-quarter face angle looking toward camera, neutral expression, plain neutral background","low quality, blurry, distorted face, asymmetrical eyes, bad eyes, crossed eyes, deformed iris, extra teeth, bad mouth, warped jaw, plastic skin, waxy skin, over-smoothed skin, heavy glam makeup, harsh shadows, overexposed, underexposed, wrong hairline, jewelry, glasses, hat, text, watermark, duplicate face, extra person"
"karma_sfw, clean facial identity reference, right three-quarter face angle looking toward camera, neutral expression, plain neutral background","low quality, blurry, distorted face, asymmetrical eyes, bad eyes, crossed eyes, deformed iris, extra teeth, bad mouth, warped jaw, plastic skin, waxy skin, over-smoothed skin, heavy glam makeup, harsh shadows, overexposed, underexposed, wrong hairline, jewelry, glasses, hat, text, watermark, duplicate face, extra person"
"karma_sfw, clean facial identity reference, slightly elevated camera angle face portrait, direct eye contact, neutral expression, plain neutral background","low quality, blurry, distorted face, asymmetrical eyes, bad eyes, crossed eyes, deformed iris, extra teeth, bad mouth, warped jaw, plastic skin, waxy skin, over-smoothed skin, heavy glam makeup, harsh shadows, overexposed, underexposed, wrong hairline, jewelry, glasses, hat, text, watermark, duplicate face, extra person"
"karma_sfw, clean facial identity reference, slightly low camera angle face portrait, direct eye contact, neutral expression, plain neutral background","low quality, blurry, distorted face, asymmetrical eyes, bad eyes, crossed eyes, deformed iris, extra teeth, bad mouth, warped jaw, plastic skin, waxy skin, over-smoothed skin, heavy glam makeup, harsh shadows, overexposed, underexposed, wrong hairline, jewelry, glasses, hat, text, watermark, duplicate face, extra person"
"karma_sfw, clean facial identity reference, both eyes detail crop, eyebrows visible, direct gaze, natural skin texture","low quality, blurry, distorted face, asymmetrical eyes, bad eyes, crossed eyes, deformed iris, extra teeth, bad mouth, warped jaw, plastic skin, waxy skin, over-smoothed skin, heavy glam makeup, harsh shadows, overexposed, underexposed, wrong hairline, jewelry, glasses, hat, text, watermark, duplicate face, extra person"
"karma_sfw, clean facial identity reference, left eye detail crop, eyebrow and eyelashes visible, natural eye shape, clean skin texture","low quality, blurry, distorted face, asymmetrical eyes, bad eyes, crossed eyes, deformed iris, extra teeth, bad mouth, warped jaw, plastic skin, waxy skin, over-smoothed skin, heavy glam makeup, harsh shadows, overexposed, underexposed, wrong hairline, jewelry, glasses, hat, text, watermark, duplicate face, extra person"
"karma_sfw, clean facial identity reference, right eye detail crop, eyebrow and eyelashes visible, natural eye shape, clean skin texture","low quality, blurry, distorted face, asymmetrical eyes, bad eyes, crossed eyes, deformed iris, extra teeth, bad mouth, warped jaw, plastic skin, waxy skin, over-smoothed skin, heavy glam makeup, harsh shadows, overexposed, underexposed, wrong hairline, jewelry, glasses, hat, text, watermark, duplicate face, extra person"
"karma_sfw, clean facial identity reference, eyes and nose bridge detail crop, freckles and natural skin texture visible, direct gaze","low quality, blurry, distorted face, asymmetrical eyes, bad eyes, crossed eyes, deformed iris, extra teeth, bad mouth, warped jaw, plastic skin, waxy skin, over-smoothed skin, heavy glam makeup, harsh shadows, overexposed, underexposed, wrong hairline, jewelry, glasses, hat, text, watermark, duplicate face, extra person"
"karma_sfw, clean facial identity reference, nose and mouth detail crop, relaxed natural lips, clean skin texture","low quality, blurry, distorted face, asymmetrical eyes, bad eyes, crossed eyes, deformed iris, extra teeth, bad mouth, warped jaw, plastic skin, waxy skin, over-smoothed skin, heavy glam makeup, harsh shadows, overexposed, underexposed, wrong hairline, jewelry, glasses, hat, text, watermark, duplicate face, extra person"
"karma_sfw, clean facial identity reference, lips chin and jawline detail crop, relaxed mouth, clean natural skin texture","low quality, blurry, distorted face, asymmetrical eyes, bad eyes, crossed eyes, deformed iris, extra teeth, bad mouth, warped jaw, plastic skin, waxy skin, over-smoothed skin, heavy glam makeup, harsh shadows, overexposed, underexposed, wrong hairline, jewelry, glasses, hat, text, watermark, duplicate face, extra person"
"karma_sfw, clean facial identity reference, left cheek and freckles detail crop, natural skin texture, clean lighting","low quality, blurry, distorted face, asymmetrical eyes, bad eyes, crossed eyes, deformed iris, extra teeth, bad mouth, warped jaw, plastic skin, waxy skin, over-smoothed skin, heavy glam makeup, harsh shadows, overexposed, underexposed, wrong hairline, jewelry, glasses, hat, text, watermark, duplicate face, extra person"
"karma_sfw, clean facial identity reference, right cheek and freckles detail crop, natural skin texture, clean lighting","low quality, blurry, distorted face, asymmetrical eyes, bad eyes, crossed eyes, deformed iris, extra teeth, bad mouth, warped jaw, plastic skin, waxy skin, over-smoothed skin, heavy glam makeup, harsh shadows, overexposed, underexposed, wrong hairline, jewelry, glasses, hat, text, watermark, duplicate face, extra person"
"karma_sfw, clean facial identity reference, forehead eyebrow and hairline detail crop, center hair part visible, clean lighting","low quality, blurry, distorted face, asymmetrical eyes, bad eyes, crossed eyes, deformed iris, extra teeth, bad mouth, warped jaw, plastic skin, waxy skin, over-smoothed skin, heavy glam makeup, harsh shadows, overexposed, underexposed, wrong hairline, jewelry, glasses, hat, text, watermark, duplicate face, extra person"
"karma_sfw, clean facial identity reference, centered face portrait with neck visible, direct eye contact, neutral expression, plain neutral background","low quality, blurry, distorted face, asymmetrical eyes, bad eyes, crossed eyes, deformed iris, extra teeth, bad mouth, warped jaw, plastic skin, waxy skin, over-smoothed skin, heavy glam makeup, harsh shadows, overexposed, underexposed, wrong hairline, jewelry, glasses, hat, text, watermark, duplicate face, extra person"
"karma_sfw, clean facial identity reference, soft smile front face portrait, direct eye contact, plain neutral background, natural skin texture","low quality, blurry, distorted face, asymmetrical eyes, bad eyes, crossed eyes, deformed iris, extra teeth, bad mouth, warped jaw, plastic skin, waxy skin, over-smoothed skin, heavy glam makeup, harsh shadows, overexposed, underexposed, wrong hairline, jewelry, glasses, hat, text, watermark, duplicate face, extra person"
"karma_sfw, clean facial identity reference, serious neutral front face portrait, direct eye contact, plain neutral background, natural skin texture","low quality, blurry, distorted face, asymmetrical eyes, bad eyes, crossed eyes, deformed iris, extra teeth, bad mouth, warped jaw, plastic skin, waxy skin, over-smoothed skin, heavy glam makeup, harsh shadows, overexposed, underexposed, wrong hairline, jewelry, glasses, hat, text, watermark, duplicate face, extra person"
"karma_sfw, clean facial identity reference, relaxed closed-mouth expression, front face portrait, direct eye contact, plain neutral background","low quality, blurry, distorted face, asymmetrical eyes, bad eyes, crossed eyes, deformed iris, extra teeth, bad mouth, warped jaw, plastic skin, waxy skin, over-smoothed skin, heavy glam makeup, harsh shadows, overexposed, underexposed, wrong hairline, jewelry, glasses, hat, text, watermark, duplicate face, extra person"
"karma_sfw, clean facial identity reference, face turned slightly left with eyes looking at camera, clean studio lighting, neutral background","low quality, blurry, distorted face, asymmetrical eyes, bad eyes, crossed eyes, deformed iris, extra teeth, bad mouth, warped jaw, plastic skin, waxy skin, over-smoothed skin, heavy glam makeup, harsh shadows, overexposed, underexposed, wrong hairline, jewelry, glasses, hat, text, watermark, duplicate face, extra person"
"karma_sfw, clean facial identity reference, face turned slightly right with eyes looking at camera, clean studio lighting, neutral background","low quality, blurry, distorted face, asymmetrical eyes, bad eyes, crossed eyes, deformed iris, extra teeth, bad mouth, warped jaw, plastic skin, waxy skin, over-smoothed skin, heavy glam makeup, harsh shadows, overexposed, underexposed, wrong hairline, jewelry, glasses, hat, text, watermark, duplicate face, extra person"
