"positive","negative"
"k@rma, bending over too far to pick up a dropped pen in a short pleated mini skirt, complete accidental upskirt revealing no underwear and bare ass, photorealistic, hyperrealistic, detailed skin texture and pores, natural lighting, candid authentic accidental moment, realistic fabric tension physics and movement, amateur photography, slight film grain, sharp focus, natural skin imperfections","deformed, mutated, extra limbs, bad anatomy, poorly drawn hands, extra fingers, fused fingers, long neck, bad proportions, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, mutated hands, bad hands, mutation, deformed, ugly, blurry, bad art, low quality, lowres, error, missing fingers, cropped, worst quality, jpeg artifacts, signature, watermark, username, out of focus, censored, bar censor, mosaic censor, deformed eyes, bad eyes, plastic skin, doll-like, overexposed, underexposed, cartoon, 3d render, illustration, painting, drawing, sketch, text, logo, brand, words, letters, numbers, clothing intact properly covering body, no wardrobe malfunction, panties visible, bra visible, properly dressed, modest clothing"
"k@rma, leaning forward across a low table to grab a remote, loose fitting tank top gaping open with nipple and areola slip visible, photorealistic, hyperrealistic, detailed skin texture and pores, natural lighting, candid authentic accidental moment, realistic fabric tension physics and movement, amateur photography, slight film grain, sharp focus, natural skin imperfections","deformed, mutated, extra limbs, bad anatomy, poorly drawn hands, extra fingers, fused fingers, long neck, bad proportions, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, mutated hands, bad hands, mutation, deformed, ugly, blurry, bad art, low quality, lowres, error, missing fingers, cropped, worst quality, jpeg artifacts, signature, watermark, username, out of focus, censored, bar censor, mosaic censor, deformed eyes, bad eyes, plastic skin, doll-like, overexposed, underexposed, cartoon, 3d render, illustration, painting, drawing, sketch, text, logo, brand, words, letters, numbers, clothing intact properly covering body, no wardrobe malfunction, panties visible, bra visible, properly dressed, modest clothing"
"k@rma, performing a deep squat stretch in ultra tight yoga pants, prominent and detailed camel toe showing through the thin stretched fabric, photorealistic, hyperrealistic, detailed skin texture and pores, natural lighting, candid authentic accidental moment, realistic fabric tension physics and movement, amateur photography, slight film grain, sharp focus, natural skin imperfections","deformed, mutated, extra limbs, bad anatomy, poorly drawn hands, extra fingers, fused fingers, long neck, bad proportions, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, mutated hands, bad hands, mutation, deformed, ugly, blurry, bad art, low quality, lowres, error, missing fingers, cropped, worst quality, jpeg artifacts, signature, watermark, username, out of focus, censored, bar censor, mosaic censor, deformed eyes, bad eyes, plastic skin, doll-like, overexposed, underexposed, cartoon, 3d render, illustration, painting, drawing, sketch, text, logo, brand, words, letters, numbers, clothing intact properly covering body, no wardrobe malfunction, panties visible, bra visible, properly dressed, modest clothing"
"k@rma, standing in sudden heavy rain wearing only a thin white cotton t-shirt with no bra underneath, shirt completely soaked and transparent clinging to skin, photorealistic, hyperrealistic, detailed skin texture and pores, natural lighting, candid authentic accidental moment, realistic fabric tension physics and movement, amateur photography, slight film grain, sharp focus, natural skin imperfections","deformed, mutated, extra limbs, bad anatomy, poorly drawn hands, extra fingers, fused fingers, long neck, bad proportions, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, mutated hands, bad hands, mutation, deformed, ugly, blurry, bad art, low quality, lowres, error, missing fingers, cropped, worst quality, jpeg artifacts, signature, watermark, username, out of focus, censored, bar censor, mosaic censor, deformed eyes, bad eyes, plastic skin, doll-like, overexposed, underexposed, cartoon, 3d render, illustration, painting, drawing, sketch, text, logo, brand, words, letters, numbers, clothing intact properly covering body, no wardrobe malfunction, panties visible, bra visible, properly dressed, modest clothing"
"k@rma, reaching high on tiptoes for an item on the top shelf, cropped tank top riding up exposing full underboob and lower breast, photorealistic, hyperrealistic, detailed skin texture and pores, natural lighting, candid authentic accidental moment, realistic fabric tension physics and movement, amateur photography, slight film grain, sharp focus, natural skin imperfections","deformed, mutated, extra limbs, bad anatomy, poorly drawn hands, extra fingers, fused fingers, long neck, bad proportions, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, mutated hands, bad hands, mutation, deformed, ugly, blurry, bad art, low quality, lowres, error, missing fingers, cropped, worst quality, jpeg artifacts, signature, watermark, username, out of focus, censored, bar censor, mosaic censor, deformed eyes, bad eyes, plastic skin, doll-like, overexposed, underexposed, cartoon, 3d render, illustration, painting, drawing, sketch, text, logo, brand, words, letters, numbers, clothing intact properly covering body, no wardrobe malfunction, panties visible, bra visible, properly dressed, modest clothing"
"k@rma, bending down in a grocery aisle to get an item from the bottom shelf in a short sundress, dress riding up with full upskirt no panties view from behind, photorealistic, hyperrealistic, detailed skin texture and pores, natural lighting, candid authentic accidental moment, realistic fabric tension physics and movement, amateur photography, slight film grain, sharp focus, natural skin imperfections","deformed, mutated, extra limbs, bad anatomy, poorly drawn hands, extra fingers, fused fingers, long neck, bad proportions, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, mutated hands, bad hands, mutation, deformed, ugly, blurry, bad art, low quality, lowres, error, missing fingers, cropped, worst quality, jpeg artifacts, signature, watermark, username, out of focus, censored, bar censor, mosaic censor, deformed eyes, bad eyes, plastic skin, doll-like, overexposed, underexposed, cartoon, 3d render, illustration, painting, drawing, sketch, text, logo, brand, words, letters, numbers, clothing intact properly covering body, no wardrobe malfunction, panties visible, bra visible, properly dressed, modest clothing"
"k@rma, leaning over a desk in an office to sign papers, low cut blouse falling forward revealing deep cleavage and slight nipple peek, photorealistic, hyperrealistic, detailed skin texture and pores, natural lighting, candid authentic accidental moment, realistic fabric tension physics and movement, amateur photography, slight film grain, sharp focus, natural skin imperfections","deformed, mutated, extra limbs, bad anatomy, poorly drawn hands, extra fingers, fused fingers, long neck, bad proportions, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, mutated hands, bad hands, mutation, deformed, ugly, blurry, bad art, low quality, lowres, error, missing fingers, cropped, worst quality, jpeg artifacts, signature, watermark, username, out of focus, censored, bar censor, mosaic censor, deformed eyes, bad eyes, plastic skin, doll-like, overexposed, underexposed, cartoon, 3d render, illustration, painting, drawing, sketch, text, logo, brand, words, letters, numbers, clothing intact properly covering body, no wardrobe malfunction, panties visible, bra visible, properly dressed, modest clothing"
"k@rma, doing a forward fold yoga pose in loose athletic shorts with nothing underneath, shorts riding up and gaping to show intimate areas, photorealistic, hyperrealistic, detailed skin texture and pores, natural lighting, candid authentic accidental moment, realistic fabric tension physics and movement, amateur photography, slight film grain, sharp focus, natural skin imperfections","deformed, mutated, extra limbs, bad anatomy, poorly drawn hands, extra fingers, fused fingers, long neck, bad proportions, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, mutated hands, bad hands, mutation, deformed, ugly, blurry, bad art, low quality, lowres, error, missing fingers, cropped, worst quality, jpeg artifacts, signature, watermark, username, out of focus, censored, bar censor, mosaic censor, deformed eyes, bad eyes, plastic skin, doll-like, overexposed, underexposed, cartoon, 3d render, illustration, painting, drawing, sketch, text, logo, brand, words, letters, numbers, clothing intact properly covering body, no wardrobe malfunction, panties visible, bra visible, properly dressed, modest clothing"
"k@rma, caught in a sudden downpour in a sheer summer dress with no bra or panties, wet fabric turning fully transparent against body, photorealistic, hyperrealistic, detailed skin texture and pores, natural lighting, candid authentic accidental moment, realistic fabric tension physics and movement, amateur photography, slight film grain, sharp focus, natural skin imperfections","deformed, mutated, extra limbs, bad anatomy, poorly drawn hands, extra fingers, fused fingers, long neck, bad proportions, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, mutated hands, bad hands, mutation, deformed, ugly, blurry, bad art, low quality, lowres, error, missing fingers, cropped, worst quality, jpeg artifacts, signature, watermark, username, out of focus, censored, bar censor, mosaic censor, deformed eyes, bad eyes, plastic skin, doll-like, overexposed, underexposed, cartoon, 3d render, illustration, painting, drawing, sketch, text, logo, brand, words, letters, numbers, clothing intact properly covering body, no wardrobe malfunction, panties visible, bra visible, properly dressed, modest clothing"
"k@rma, stretching arms up high while changing a lightbulb, spaghetti strap top slipping down off shoulders causing one breast to pop out, photorealistic, hyperrealistic, detailed skin texture and pores, natural lighting, candid authentic accidental moment, realistic fabric tension physics and movement, amateur photography, slight film grain, sharp focus, natural skin imperfections","deformed, mutated, extra limbs, bad anatomy, poorly drawn hands, extra fingers, fused fingers, long neck, bad proportions, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, mutated hands, bad hands, mutation, deformed, ugly, blurry, bad art, low quality, lowres, error, missing fingers, cropped, worst quality, jpeg artifacts, signature, watermark, username, out of focus, censored, bar censor, mosaic censor, deformed eyes, bad eyes, plastic skin, doll-like, overexposed, underexposed, cartoon, 3d render, illustration, painting, drawing, sketch, text, logo, brand, words, letters, numbers, clothing intact properly covering body, no wardrobe malfunction, panties visible, bra visible, properly dressed, modest clothing"
