day,image_number,theme,full_prompt
1,1,Soft Awakening - Shoulder Slip Morning Light,"k@rma, seductive yet sweet playful expression,  wearing an oversized soft white cotton men's button-down shirt (sleeves rolled up, hem reaching mid-thigh), unbuttoned low to navel showing deep cleavage and toned midriff, tiny blush pink lace thong panties, bare feet, rumpled white linen sheets on king bed, sitting on the edge of the bed with knees slightly apart, one hand gently pulling the shirt collar open further, shirt slipping off her left shoulder completely exposing her left breast, head tilted slightly with soft morning smile looking toward camera, soft diffused golden morning sunlight streaming through sheer white curtains, gentle volumetric light rays, cozy modern bedroom with light wood floors and potted plants in background, medium full-body shot from slightly low angle, eye-level with subject, natural perspective emphasizing long legs and curves, warm intimate morning atmosphere, sleepy yet awakening sensual energy, gentle and inviting feeling, playful fresh-faced tease, natural beauty in private moment, photorealistic, hyper realistic skin details, 8k raw photo, natural skin texture with visible pores, subtle freckles and fine body hair, slight natural film grain, soft bokeh background, beautiful cinematic lighting, intimate sensual atmosphere, confident playful mood, masterpiece, best quality, sharp focus on subject, amateur photography aesthetic with realistic imperfections"
1,2,Soft Awakening - Window Stretch,"k@rma, seductive yet sweet playful expression,  wearing an oversized soft white cotton men's button-down shirt (sleeves rolled up, hem reaching mid-thigh), unbuttoned low to navel showing deep cleavage and toned midriff, tiny blush pink lace thong panties, bare feet, rumpled white linen sheets on king bed, standing in front of large window with sheer curtains, arms raised high in a languid stretch, shirt riding up to expose lower back and the top of her thong, back arched, long hair falling down her back, looking over shoulder with dreamy half-lidded eyes, bright but soft morning side lighting creating beautiful rim light on her silhouette and hair, warm golden tones, subtle lens flare from window, full body shot from 3/4 rear angle, low camera height looking up to emphasize height and curves, slight Dutch tilt for dynamic feel, serene yet seductive morning mood, peaceful private moment turning erotic, airy and light feeling, elegant stretch tease, confident in her body, photorealistic, hyper realistic skin details, 8k raw photo, natural skin texture with visible pores, subtle freckles and fine body hair, slight natural film grain, soft bokeh background, beautiful cinematic lighting, intimate sensual atmosphere, confident playful mood, masterpiece, best quality, sharp focus on subject, amateur photography aesthetic with realistic imperfections"
1,3,Soft Awakening - Bed Recline,"k@rma, seductive yet sweet playful expression,  wearing an oversized soft white cotton men's button-down shirt (sleeves rolled up, hem reaching mid-thigh), unbuttoned low to navel showing deep cleavage and toned midriff, tiny blush pink lace thong panties, bare feet, rumpled white linen sheets on king bed, lying on her back diagonally across the large bed, one knee bent and raised, arms relaxed above her head, shirt completely open at the bottom revealing the tiny pink thong and smooth lower belly, soft smile with eyes looking up at camera, hair spread on pillow, beautiful top-down diffused window light mixed with warm bedside lamp creating soft shadows that accentuate her breasts and stomach curves, high angle overhead shot looking down, centered composition focusing on torso and face, intimate bedroom framing, cozy vulnerable yet safe intimate atmosphere, relaxed and sensual feeling, like a private morning in bed, dreamy reclining beauty, soft and approachable eroticism, photorealistic, hyper realistic skin details, 8k raw photo, natural skin texture with visible pores, subtle freckles and fine body hair, slight natural film grain, soft bokeh background, beautiful cinematic lighting, intimate sensual atmosphere, confident playful mood, masterpiece, best quality, sharp focus on subject, amateur photography aesthetic with realistic imperfections"
1,4,Soft Awakening - Kneeling Tease,"k@rma, seductive yet sweet playful expression,  wearing an oversized soft white cotton men's button-down shirt (sleeves rolled up, hem reaching mid-thigh), unbuttoned low to navel showing deep cleavage and toned midriff, tiny blush pink lace thong panties, bare feet, rumpled white linen sheets on king bed, kneeling in the center of the bed facing camera, sitting back on her heels, both hands lightly holding the shirt closed at her chest but with deep cleavage visible, head tilted, biting lower lip gently with playful seductive eye contact, shirt slipping off both shoulders, warm mixed lighting: golden window light from side + soft warm glow from off-camera lamp, creating gentle modeling on face and body, medium shot, eye level, slight low angle to give empowering presence, shallow depth of field with soft sheets in foreground, playful intimate bedroom vibe, teasing yet sweet, direct connection feeling, flirty kneeling invitation, mischievous and seductive, photorealistic, hyper realistic skin details, 8k raw photo, natural skin texture with visible pores, subtle freckles and fine body hair, slight natural film grain, soft bokeh background, beautiful cinematic lighting, intimate sensual atmosphere, confident playful mood, masterpiece, best quality, sharp focus on subject, amateur photography aesthetic with realistic imperfections"
1,5,Soft Awakening - Bent Over Mirror,"k@rma, seductive yet sweet playful expression,  wearing an oversized soft white cotton men's button-down shirt (sleeves rolled up, hem reaching mid-thigh), unbuttoned low to navel showing deep cleavage and toned midriff, tiny blush pink lace thong panties, bare feet, rumpled white linen sheets on king bed, standing with back to camera in front of tall floor mirror, bent slightly forward at hips with hands on thighs, looking back over shoulder into mirror and toward viewer, shirt completely ridden up exposing her entire thong and round butt cheeks, long hair cascading forward, soft backlighting from window creating beautiful silhouette and rim lighting on hair and curves, warm and hazy morning atmosphere, full body from behind at 3/4 angle, low camera position to emphasize legs, butt and arched back, mirror reflection showing partial face and front, voyeuristic yet intimate morning moment, confident and bold feeling, natural unposed beauty, cheeky rear tease, empowered and playful, photorealistic, hyper realistic skin details, 8k raw photo, natural skin texture with visible pores, subtle freckles and fine body hair, slight natural film grain, soft bokeh background, beautiful cinematic lighting, intimate sensual atmosphere, confident playful mood, masterpiece, best quality, sharp focus on subject, amateur photography aesthetic with realistic imperfections"
2,1,Gym Goddess - Squat Power,"k@rma, seductive yet sweet playful expression,  wearing a tight black strappy sports bra with deep V-neck and underboob cutout, high-waisted seamless black compression leggings with subtle contour seams highlighting hips and cameltoe, white ankle socks and sneakers, hair in high messy ponytail with loose strands, light sheen of sweat on skin, small white towel draped around neck, in a deep squat position holding light dumbbells, knees pushed out, back straight, sports bra straining against her breasts, leggings stretched tight over thighs and butt, looking directly at camera with focused yet seductive expression, sweat glistening on collarbones and cleavage, bright even gym lighting with large windows and overhead LED panels, clean modern home gym setting with rubber mats and mirrors in background, low angle front shot from knee height, powerful perspective emphasizing strength and curves, dynamic sports photography style, empowering athletic atmosphere, strong feminine energy, intense yet sensual feeling, strong fitness influencer in action, confident and sexy, photorealistic, hyper realistic skin details, 8k raw photo, natural skin texture with visible pores, subtle freckles and fine body hair, slight natural film grain, soft bokeh background, beautiful cinematic lighting, intimate sensual atmosphere, confident playful mood, masterpiece, best quality, sharp focus on subject, amateur photography aesthetic with realistic imperfections"
2,2,Gym Goddess - Mirror Flex Selfie,"k@rma, seductive yet sweet playful expression,  wearing a tight black strappy sports bra with deep V-neck and underboob cutout, high-waisted seamless black compression leggings with subtle contour seams highlighting hips and cameltoe, white ankle socks and sneakers, hair in high messy ponytail with loose strands, light sheen of sweat on skin, small white towel draped around neck, standing in front of large gym mirror taking a selfie with phone in one hand, other hand lifting the sports bra slightly to show underboob and toned abs, leggings pulled high, hip cocked, biting lip with playful smirk, sweat droplets on skin, towel around neck, mixed lighting: bright window light + cool gym LED creating nice contrast and highlights on sweat, medium shot at slight low angle, phone visible in frame, mirror reflection adding depth, modern selfie aesthetic, confident post-workout vibe, playful and flirty gym girl energy, proud of her body, sweaty selfie tease, athletic and seductive, photorealistic, hyper realistic skin details, 8k raw photo, natural skin texture with visible pores, subtle freckles and fine body hair, slight natural film grain, soft bokeh background, beautiful cinematic lighting, intimate sensual atmosphere, confident playful mood, masterpiece, best quality, sharp focus on subject, amateur photography aesthetic with realistic imperfections"
2,3,Gym Goddess - Bent Over Stretch,"k@rma, seductive yet sweet playful expression,  wearing a tight black strappy sports bra with deep V-neck and underboob cutout, high-waisted seamless black compression leggings with subtle contour seams highlighting hips and cameltoe, white ankle socks and sneakers, hair in high messy ponytail with loose strands, light sheen of sweat on skin, small white towel draped around neck, bent over at waist with straight legs touching toes, hands on shins, looking back between her legs toward camera with upside-down seductive smile, ponytail hanging down, sports bra hanging open slightly showing breasts, leggings stretched extremely tight over round butt, side window lighting creating strong highlights on her back, butt and legs, clean gym background slightly blurred, rear low angle shot from floor level looking up, dramatic perspective on legs and butt, sports action feel, bold and provocative stretch moment, teasing and athletic atmosphere, flexible fitness babe tease, unapologetically sexy, photorealistic, hyper realistic skin details, 8k raw photo, natural skin texture with visible pores, subtle freckles and fine body hair, slight natural film grain, soft bokeh background, beautiful cinematic lighting, intimate sensual atmosphere, confident playful mood, masterpiece, best quality, sharp focus on subject, amateur photography aesthetic with realistic imperfections"
2,4,Gym Goddess - Bench Sit & Wipe,"k@rma, seductive yet sweet playful expression,  wearing a tight black strappy sports bra with deep V-neck and underboob cutout, high-waisted seamless black compression leggings with subtle contour seams highlighting hips and cameltoe, white ankle socks and sneakers, hair in high messy ponytail with loose strands, light sheen of sweat on skin, small white towel draped around neck, sitting on weight bench with legs spread wide, leaning back slightly on one arm, other hand using towel to wipe sweat from between her breasts and down her abs, sports bra pushed up a bit, seductive eye contact, mouth slightly open, hair messy, dramatic side lighting from window creating strong shadows and sweat highlights, moody gym corner with equipment, medium shot, eye level with slight low angle, legs framing the composition, intimate yet strong presence, raw post-workout intimacy, sweaty and real, sensual exhaustion feeling, tired but horny gym girl vibe, very relatable and hot, photorealistic, hyper realistic skin details, 8k raw photo, natural skin texture with visible pores, subtle freckles and fine body hair, slight natural film grain, soft bokeh background, beautiful cinematic lighting, intimate sensual atmosphere, confident playful mood, masterpiece, best quality, sharp focus on subject, amateur photography aesthetic with realistic imperfections"
2,5,Gym Goddess - Standing Stretch & Arch,"k@rma, seductive yet sweet playful expression,  wearing a tight black strappy sports bra with deep V-neck and underboob cutout, high-waisted seamless black compression leggings with subtle contour seams highlighting hips and cameltoe, white ankle socks and sneakers, hair in high messy ponytail with loose strands, light sheen of sweat on skin, small white towel draped around neck, standing with one leg raised on a bench stretching her hamstring, both hands reaching toward her raised foot, back arched deeply, sports bra lifting to show full underboob, leggings riding up between cheeks, looking at camera over shoulder with intense seductive gaze, golden afternoon gym light coming through side windows, beautiful warm highlights on skin and sweat, full body 3/4 side angle, low camera to emphasize the long stretched leg and arched back line, graceful yet powerful stretch atmosphere, elegant athletic sensuality, flexible and strong, beautiful body in motion, photorealistic, hyper realistic skin details, 8k raw photo, natural skin texture with visible pores, subtle freckles and fine body hair, slight natural film grain, soft bokeh background, beautiful cinematic lighting, intimate sensual atmosphere, confident playful mood, masterpiece, best quality, sharp focus on subject, amateur photography aesthetic with realistic imperfections"
