positive,negative
"<triggerword>, realistic portrait, near-black brown hair with hair tucked behind ears, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, cinematic soft shadows","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair in relaxed updo, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, cinematic soft shadows","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair tucked behind ears, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, subtle studio lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair down over shoulders, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, warm indoor ambient lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair tied into messy bun, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, soft window lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair down over shoulders, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, DSLR realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair clipped back casually, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, overcast daylight realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair braided loosely, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, authentic smartphone realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair tied into messy bun, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, natural daylight realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair in relaxed updo, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, natural daylight realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair tied into messy bun, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, soft window lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair clipped back casually, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, DSLR realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair clipped back casually, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, warm indoor ambient lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair braided loosely, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, authentic smartphone realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair in tight ponytail, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, soft window lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair clipped back casually, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, overcast daylight realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair down over shoulders, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, DSLR realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair in tight ponytail, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, subtle studio lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair clipped back casually, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, DSLR realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with wind-blown natural hairstyle, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, DSLR realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair braided loosely, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, cinematic soft shadows","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair down over shoulders, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, overcast daylight realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with wind-blown natural hairstyle, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, subtle studio lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with wind-blown natural hairstyle, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, cinematic soft shadows","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair braided loosely, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, DSLR realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair in relaxed updo, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, subtle studio lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair clipped back casually, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, warm indoor ambient lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair tied into messy bun, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, soft window lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair tied into messy bun, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, authentic smartphone realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair tucked behind ears, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, warm indoor ambient lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair down over shoulders, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, overcast daylight realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair tied into messy bun, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, soft window lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair in tight ponytail, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, subtle studio lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair in tight ponytail, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, cinematic soft shadows","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair clipped back casually, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, soft window lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair down over shoulders, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, soft window lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair tied into messy bun, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, warm indoor ambient lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair in relaxed updo, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, soft window lighting","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with wind-blown natural hairstyle, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, cinematic soft shadows","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
"<triggerword>, realistic portrait, near-black brown hair with hair clipped back casually, authentic hair texture, realistic flyaway hairs, natural skin texture, detailed face realism, natural daylight realism","blonde hair, blonde streaks, highlights, red hair, oversized chest, tiny chest, exaggerated anatomy, anime, cartoon, plastic skin, fake skin texture, unrealistic body proportions, glamour magazine look, overprocessed image, distorted anatomy, low detail, blurry face"
